address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"R. Ver. Abílio Otávio do Canto, 133","4,6",Empresa de importação e exportação, (47) 3048-0353 · ,http://www.termotubos.com.br/,Termotubos,98,,True,True,http://www.facebook.com/termotubos,https://instagram.com/termotubos
"Avenida Coronel Marcos Konder, 805 - Salas 1306 a 1309","5,0",Empresa de importação e exportação, (47) 3046-9800 · ,http://www.javatrading.com.br/,Java Trading,99,True,,,,
"R. João Wollinger, 118","5,0",Empresa de importação e exportação, (47) 3249-6900 · ,http://forer.com.br/,Forer Commerce,100,True,,,,
"R. José Paulo da Silva, n 69 - 06","4,2",Empresa de importação e exportação, (47) 99108-2307 · ,https://racinternational.negocio.site/,"RAC Comércio, Assessoria e Representação LTDA",101,,False,False,,
"R. Pedro Pereira Mafra, 147 - 2","4,0",Empresa de importação e exportação, (47) 3081-3300 · ,http://www.nautaetrade.com.br/,Nautae Trade Ltda,102,,False,True,,
"Av. Cel. Marcos Konder, 1313 - 203","4,5",Empresa de importação e exportação, (11) 2729-0267 · ,http://rfcomercio.com.br/,RF Comércio Internacional,103,True,,,,
"R. Dr. José Bonifácio Malburg, 105 - 908","5,0",Empresa de importação e exportação, (47) 3246-4849 · ,http://www.satori.com.br/,Satori Importação & Exportação,104,,True,True,https://www.facebook.com/Satori-ImportaÃ§Ã£o-e-ExportaÃ§Ã£o-Ltda-379920762357388/,https://www.instagram.com/satori_imp_exp/
"Av. Osvaldo Reis, 3281 - Sala 1208","3,3",Empresa de importação e exportação, (47) 3514-9151 · ,http://www.greenimport.com.br/,GREEN IMPORT,105,,True,False,,https://www.instagram.com/green.import/
"R. César Augusto Dalçoquio, 4255","4,7",Empresa de importação e exportação, (47) 3405-8300 · ,http://trustsuplementos.com.br/,Trust Trading Company,107,,True,True,https://www.facebook.com/MuscleTechBrasil/,https://www.instagram.com/muscletech_br/
"R. Adolfo Batschauer, 778","4,0",Empresa de importação e exportação, (47) 3046-3532 · ,,Boaz International Company Importação e Exportação,108,,,,,
"R. Jacob Ardigó, 570","5,0",Empresa de importação e exportação, (47) 3046-3116 · ,,RP Importação e Exportação ltda,109,,,,,
"Av. Cel. Marcos Konder, nº 1207 - Sala 141","5,0",Empresa de importação e exportação, (47) 3247-7100 · ,https://bluetrade.com.br/,Bluetrade International,111,,True,True,,https://www.instagram.com/bluetradeinternational/
"R. Pedro Joaquim Viêira, 92",,Empresa de importação e exportação, (47) 3344-7200 · ,,Mega Office Brasil,113,,,,,
"R. João Rodi, 200","3,4",Empresa de importação e exportação, (47) 2125-5600 · ,http://www.globalmercador.com/,Forex Consulting Ltd (Global Mercador),114,,False,True,,
"Av. Cel. Marcos Konder, 1207 - 73","5,0",Empresa de importação e exportação, (47) 3158-1700 · ,http://www.wbrands.com.br/,World Brands Distribuidora S.A,115,,False,True,https://www.facebook.com/pages/Themefusion/101565403356430,
"Av. Cel. Marcos Konder, 1177 - sala 202","4,9",Empresa de importação e exportação, (47) 3224-0240 · ,http://www.fosfor.com.br/,Fosfor Trading,116,,False,True,https://www.facebook.com/fosfortrading,
"R. Camboriú, 465","5,0",Empresa de importação e exportação, (53) 2125-3162 · ,http://www.dfagency.com.br/,DF Agency,117,,False,False,,
"R. Samuel Heusi, 463 - sala 1109","4,7",Empresa de importação e exportação, (47) 3348-7380 · ,http://globalcommercebrasil.com/,Global Commerce,118,,False,True,,
"R. Samuel Heusi, 463 - sala 1112","4,6",Empresa de importação e exportação, (47) 3515-0563 · ,,S.E.S Trade,119,,,,,
"R. Fábio Cesário Pereira, 235","5,0",Empresa de importação e exportação, (47) 3346-9190 · ,http://deltaworldtrading.com.br/,Delta World Trading,120,,False,False,,
Rua Samuel Heusi - 190 - Sala 501 - Edfício Itajahy Trade Center,"5,0",Empresa de importação e exportação, (47) 3264-8693 · ,http://www.marianosdespachos.com.br/localizacao/,Mariano's Despachos Aduaneiros,121,,False,False,,
"R. Manoel Evaldo Müller, 3808","5,0",Empresa de importação e exportação, (47) 3246-6200 · ,http://gettrade.com.br/,Get Trade Importação e Exportação - SC,124,,True,True,https://facebook.com/getcomex/,https://www.instagram.com/get_comex
"Edifício Zen Tower - R. Manoel Viêira Garção, 120 - 9º andar, sala 901","5,0",Serviço de logística, (47) 3248-8115 · ,http://www.pibernat.com.br/,Pibernat Logística,126,,True,True,https://www.facebook.com/pibernatlogistica/,https://www.instagram.com/pibernat_logistica/
"S/N, Km 4 Armazem 1B, 003, Rod. Antônio Heil","4,7",Empresa de importação e exportação, (47) 3405-8300 · ,http://www.meadjohnson.com.br/,Mead Johnson do Brasil Comercio e Importacao de Produtos de Nutricao Ltda.,128,,False,False,,
"R. Hilda Breitenbauch, 100","4,0",Empresa de importação e exportação, (47) 3348-4927 · ,,MUNDIMAR Logística & Com. Exterior Ltda,129,,,,,
"Rod. Antônio Heil, 2030 - galpão 9","4,8",Empresa de importação e exportação, (47) 3348-2411 · ,http://nlatrading.com.br/,NLA Trading,130,,False,False,,
"R. Egon Müler, 43","4,8",Empresa de importação e exportação, (47) 3249-2500 · ,http://www.eroma.com.br/,Eroma Ltda,131,,True,True,https://www.facebook.com/EromaLTDA/,https://instagram.com/eromaedm?utm_source=ig_profile_share&igshid=r7aixdtalqpa
"SALA 1104 155, R. Dr. Pedro Ferreira","5,0",Empresa de importação e exportação, (47) 3045-5040 · ,https://octanslogistica.com.br/,OCTANS LOGÍSTICA LTDA,132,,True,True,https://www.facebook.com/LogisticaOctans,https://www.instagram.com/octans_logistica/
"R. Uruguai, 161 - Sala 303 201","5,0",Empresa de importação e exportação, (57) 98555-3367 · ,http://www.elevenagents.com/,ELEVEN Agents,134,,False,True,http://www.facebook.com/elevenagents,
"R. Indaial, 1045 - 1º andar, Sala 7","3,4",Empresa de importação e exportação, (47) 3021-6005 · ,http://uniportbrasil.com.br/,Uniport Brasil,135,True,,,,
"R. Uruguai, 223 - sala 1001","5,0",Empresa de importação e exportação, (47) 3346-6450 · ,http://eurolinetrading.com.br/,Euroline Trading Company,136,,True,True,https://www.facebook.com/eurolinetrading,https://www.instagram.com/eurolinetrading/
"Av. Cel. Marcos Konder, 950","5,0",Empresa de importação e exportação, (47) 2122-9462 · ,,Customs Office Importação e Exportação,138,,,,,
"R. Alm. Barroso, 229 - sala 18","5,0",Empresa de importação e exportação, (11) 2649-5091 · ,http://www.amagtrading.com.br/,Amag Trading Importação e Exportação Ltda,139,,False,True,https://www.facebook.com/groups/467935273343824/members/,
"Av. Ver. Abrahão João Francisco, 2600","4,6",Empresa de importação e exportação, (47) 3348-0522 · ,,Hsac Logística,140,,,,,
"R. Dr. José Bonifácio Malburg, 105 - SL 605","5,0",Empresa de importação e exportação, (47) 2125-4621 · ,http://tindaritrading.com.br/,TINDARI TRADING COMPANY,141,True,,,,
"R. Pedro Pereira Mafra, 147 - sala 02","4,0",Empresa de importação e exportação, (47) 3081-3300 · ,,Nautae Group,142,,,,,
"R. Maria da Glória, 219","4,0",Empresa de importação e exportação, (47) 3514-2025 · ,,Brt Artfibras,143,,,,,
"R. Manoel Evaldo Müller, 3366","5,0",Empresa de importação e exportação, (47) 3248-8115 · ,,Geht Trade Importação E Exportac,147,,,,,
Av. Ver. Abrahão João Francisco,"4,7",Empresa de remessas, (47) 3045-7350 · ,http://www.migcomex.com.br/,MIG Internacional Importadora e Exportadora Ltda.,149,,False,False,,
"1207, Coronel Marcos Konder Av., 11th floor","4,0",Empresa de importação e exportação, (47) 2125-1819 · ,http://ecombrazil.com/,Ecom,150,,False,True,,
"R. Alm. Tamandaré, 200","4,8",Consultoria, (47) 4141-1119 · ,,Adsumus Importação Exportação e Representação,151,,,,,
"Rua João Bauer, 155 - Sala 21","4,8",Empresa de importação e exportação, (47) 3344-1073 · ,http://www.nntrade.com.br/,Noldin Trade International LTDA,152,,False,False,,
"R. José Ferreira da Silva, 54","5,0",Empresa de importação e exportação, (47) 3349-8911 · ,http://trusttrade.com.br/,Trust Trade,153,,False,True,,
"R. Antônio Adão Dias, 544","4,1",Empresa de importação e exportação, (47) 3346-3001 · ,http://solidpower.com.br/,Solid Power,154,,False,True,,
"Av. Sete de Setembro, 776 - sala 505","5,0",Empresa de importação e exportação, (47) 3514-3393 · ,http://www.2getherinternacional.com.br/,2gether Internacional,155,True,,,,
"Av. Cel. Marcos Konder, 1024 - Sala 24","3,4",Empresa de importação e exportação, (47) 3348-9343 · ,http://wconnection.com.br/,WORLD CONNECTION,156,,False,False,,
"Av. Cel. Marcos Konder, 1207 - 113","5,0",Empresa de importação e exportação, (47) 3349-4400 · ,http://www.bluelinelog.com.br/,Blue Line Logistics,157,,True,True,https://www.facebook.com/sigabluelinelog,https://www.instagram.com/sigabluelinelog/
"R. Newton Prado Baião, s/n","4,6",Empresa de importação e exportação, (47) 3406-9100 · ,http://www.barradorio.com.br/,Barra do Rio Terminal Portuário S/A,158,True,,,,
"R. Brusque, 1229","5,0",Empresa de importação e exportação, (47) 3348-5204 · ,,SUN.F International Importação e Exportação Ltda,159,,,,,
"R. Camboriú, 26","5,0",Empresa de importação e exportação, (47) 3319-3195 · ,http://www.panasia.com.br/,PanAsia International Trade,160,True,,,,
"Av. Getúlio Vargas, 162 - Sala 09","4,6",Empresa de importação e exportação, (47) 99162-1070 · ,https://www.rpjcomex.com.br/,RPJ Comex,161,,False,False,,
"Rua Jorge Tzachel, Bairro, 350 - 2º Andar","5,0",Alfândega, (47) 3045-7777 · ,http://www.inovadespachos.com.br/,Inova Despachos Aduaneiros,162,,False,True,https://www.facebook.com/pages/Inova-Despachos-Aduaneiros/677639705624412?fref=ts,
"Tv. Rio Juruá, 57","5,0",Alfândega, (47) 3083-7003 · ,http://www.alltimeassessoria.com.br/,Despachante Aduaneiro AllTime em Itajaí,163,True,,,,
"R. Blumenau, 2137 - Sala 4","4,0",Empresa de importação e exportação, (47) 99927-7138 · ,http://ittrade.com.br/,it,164,,False,False,,
"R. Max, 237 - sl 02","5,0",Consultor de comércio internacional, (47) 3344-1513 · ,http://www.imporlog.com.br/,IMPORLOG TRADING IMP. & EXP. LTDA.,166,,True,True,http://www.facebook.com.br/imporlog,http://www.instagram.com/imporlog
"Rua Odílio Garcia 211, sala B box 60","5,0",Empresa de importação e exportação, (11) 4303-5280 · ,http://globalpartneer.com/,Global Partneer,167,,True,True,https://www.facebook.com,https://www.instagram.com/?hl=pt-br
"Av. Cel. Marcos Konder, 391 - Prédio 01","5,0",Alfândega, (47) 3341-2700 · ,http://www.cacer.com.br/despachante-aduaneiro-itajai,Despachante Aduaneiro Cacer Serviços de Assessoria Aduaneira,170,,False,True,,
"R. Dr. Pedro Ferreira, 100 - 2° andar, sala 07 - Centro","4,8",Alfândega, (47) 3341-6300 · ,http://www.heusi.com.br/,Heusi Comissária de Despachos e Agenciamentos LTDA - Matriz,171,,False,True,http://www.facebook.com/heusi.comissaria,
"Rod. Antônio Heil, 1001 - Sala 201 - C","5,0",Empresa de importação e exportação, (47) 3348-2595 · ,https://www.easychef.com.br/,EasyChef,172,,True,True,https://www.facebook.com/easychefoficial,https://www.instagram.com/easychefoficial/
BR-470,"4,8",Empresa de importação e exportação, (47) 3349-0473 · ,http://www.eximbiz.com.br/,Eximbiz Comércio Internacional,173,,True,False,,
"R. Aderbal Ramos da Silva, 104","5,0",Empresa de importação e exportação, (47) 3045-2843 · ,,Juliano Canquirini Müller Meyer,174,,,,,
"Av. Gov. Adolfo Konder, 2406","4,1",Serviço de distribuição, (47) 2103-3394 · ,http://www.proimport.com.br/,Proimport,175,,False,True,https://www.facebook.com/proimportbrasil,
"R. Juca Cesário, 140","4,3",Escritório da empresa, (47) 3046-2300 · ,http://grupoconasscon.com.br/,Grupo Conasscon,176,True,,,,
"R. Alm. Barroso, 37 - Sala 12","5,0",Escritório de impostos municipais, (47) 3248-0120 · ,http://www.r2comex.com/,R2 Comex,177,,False,False,,
"R. Heitor Liberato, 1697","3,0",Empresa de importação e exportação, (47) 3045-6197 · ,http://www.animabronze.com.br/,ANIMA BRONZE LTDA,178,True,,,,
"R. Adolfo Batschauer, 959","4,6",Tecelagem, (47) 3349-7536 · ,,Msa Brazil Importação e Exportação,179,,,,,
"R. Tijucas, 460 - 1º andar","4,0",Despachante, (47) 3349-3500 · ,http://www.infinitycommerce.com.br/,Infinity Commerce Comissária de Despachos e Assessoria de Comércio Exterior LTDA,180,,False,False,,
"R. Manoel Viêira Garção, 10 - 501","5,0",Importadora, (47) 3248-1105 · ,http://viaimporter.com.br/,Via Importer S. A.,182,,False,False,,
"R. 1111, numero 215 - Sala 1","5,0",Empresa de importação e exportação, (48) 4042-2021 · ,http://www.wsenergy.com.br/,WS Energy Importação Exportação e Comercio Ltda,183,True,,,,
"R. Uruguai, 122 - Sala 03 a 10","5,0",Empresa de importação e exportação, (47) 3083-7003 · ,http://www.cmimports.net/,CM Imports Importadora e Comercio Ltda. Filial SC,184,True,,,,
"R. Carlos Seara, 628","4,8",Dedetizadora, (47) 3349-4001 · ,http://www.triumph-itj.com.br/,Triumph Fumigações e Inspeções Agricolas Ltda.,185,,False,True,http://www.facebook.com/Triumph-FumigaÃ§oes,
"R. Felix Kriguer, 343","5,0",Empresa de importação e exportação, (47) 3319-5621 · ,,G R A Distribuidora Importação e Exportação,186,,,,,
"Av. Central, 25","5,0",Empresa de importação e exportação, (47) 3056-5457 · ,,Eti Importação e Exportação de Materiais,187,,,,,
"Av. Osvaldo Reis, Balneário, 2470 - 1° Andar","4,1",Serviço de logística, (47) 3404-4400 · ,http://www.grupoopentrade.com.br/,Open Trade,188,,True,True,https://www.facebook.com/opentradecomex/, http://instagram.com/opentradecomex
"Av. João Sacavem, 800","4,0",Fornecedor de equipamentos industriais, (47) 3319-1918 · ,,Termacolor Comércio Importação e Exportação de Equipamentos,189,,,,,
"Av. do Estado, nº 1,771 - Loja 08","5,0",Empresa de importação e exportação, (47) 3311-1322 · ,http://brunatex.com.br/,Brunatex Import and Export Ltda.,191,True,,,,
"R. Uruguai, 169 - 02","5,0",Empresa de importação e exportação, (47) 3366-0155 · ,http://www.vtrade.com.br/,Viatrade Assessoria,193,,False,False,,
"nº, Rua 1500, 166","4,8",Empresa de importação e exportação, (41) 3027-7333 · ,http://konsultrade.com.br/,Konsultrade Consultoria e Comércio Internacional S/A,194,True,,,,
"Av. Cel. Marcos Konder, 1024 - sala 11 a 14","5,0",Escritório da empresa, (47) 3390-4600 · ,http://www.powertradeimport.com.br/,Power Trade Import,195,,False,False,,
"Rod. Antônio Heil, 4155","4,1",Empresa de transporte rodoviário, (47) 3241-8500 · ,https://www.jbs.com.br/,JBS S/A Transportadora - Itajaí SC,197,,False,True,,
"Av. Brasil, 333","5,0",Empresa de importação e exportação, (47) 3056-7965 · ,,Golfo Dorado Imp e Export,198,,,,,
