address,classification,details,fone,link,name,position
"       R. Prudente de Morais, 516 - Centro, União da Vitória - PR, 84600-000      ","4,3",Supermercado,       (42) 3523-6797      ,       superpao.com.br      ,Superpão União da Vitória (Prudente de Morais) Loja 10,10
"       R. Carlos Cavalcante, 231 - Centro, União da Vitória - PR, 84600-000      ","4,1",Loja de móveis,       (42) 3522-3993      ,,Comercial Bandeirante,11
"       R. Profa. Amazília, 302 - Centro, União da Vitória - PR, 84600-000      ","4,2",Loja de variedades,       (42) 3522-3404      ,       milium.com.br      ,Milium Tem de Tudo - Loja 72,12
"       R. Visc. de Guarapuava, 34 - Centro, União da Vitória - PR, 84600-195      ",,Loja infantil,       (42) 99834-0612      ,,BEL BABY KIDS,13
,,,,,,14
,,,,,,15
"       R. Nipton Read Cury, 27 - Centro, União da Vitória - PR, 84600-145      ","3,8",Loja de móveis,       (42) 3522-4466      ,       casasestrela.com.br      ,Casas Estrela,16
,,,,,,1
"       Av. Barão do Rio Branco, 816 - Centro, Caçador - SC, 89500-000      ","4,1",Loja de Roupa,       (49) 3563-4084      ,,Lojas MR,2
,,,,,,1
"       R. Sete de Setembro, 122 - Centro, Porto União - SC, 89400-000      ","3,7",Loja,       (42) 3523-2975      ,       loja-emmy.business.site      ,LOJA EMMY,2
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
"       Centro, Porto União - SC, 89400-000      ","4,4",Loja,       (42) 98429-9881      ,,G10,1
,,,,,,2
"       Av. Bento Munhoz da Rocha Neto, 866 - Centro, União da Vitória - PR, 84600-000      ","4,2",Supermercado,       (42) 3521-5300      ,       superpao.com.br      ,Supermercados Superpão,3
,,,,,,4
"       Av. Interventor Manoel Ribas, 190 - Terreo - Centro, União da Vitória - PR, 86730-000      ","4,3",Loja de chocolates,       (44) 99801-8581      ,       cacaushow.com.br      ,Cacau Show,5
"       R. Siqueira Campos - Centro, Porto União - SC, 89400-000      ","4,3",Loja de Brinquedos,       (42) 3523-7746      ,,Schok Presentes e Acessórios,6
"       R. Dr. Munhoz da Rocha, 333 - Centro, Irati - PR, 84500-000      ","3,0",Loja de Roupa,       (42) 3422-2041      ,       hering.com.br      ,Hering,7
"       R. Emílio Kroni, 558 - Nossa Sra. do Rócio, União da Vitória - PR, 84600-000      ",,Loja de madeiras,       (42) 3522-6900      ,       dissenha.com.br      ,Grupo Dissenha,8
"       R. Teixeira Soares, 390 - Navegantes, União da Vitória - PR, 84600-093      ","4,7",Supermercado,       (42) 99910-3942      ,       bahniuk.com.br      ,Bahniuk Fresh Market,9
"       R. Prudente de Morais, 100 - Centro, União da Vitória - PR, 89400-000      ","4,3",Casa lotérica,       (42) 3522-2348      ,       caixa.gov.br      ,Lotérica Porto União,10
"       Av. Interventor Manoel Ribas, 1009 - Centro, União da Vitória - PR, 84600-280      ",,Farmácia,       (42) 3522-7456      ,       redehiperfarma.com.br      ,Farmácia Hiperfarma Manoel Ribas,11
"       Av. Paula Freitas, 1348 - Centro, União da Vitória - PR, 84600-000      ","3,6",Casa lotérica,       (42) 3524-5050      ,,Lotérica São Cristóvão,12
"       R. Profa. Amazília, 246 - Centro, União da Vitória - PR, 84600-000      ",,Atacadista de roupas,       (42) 98818-9939      ,,Alfa Campos - União da Vitória,13
