address,classification,details,fone,link,name,position
"       R. Ipiranga, 129 - Centro, União da Vitória - PR, 84600-000      ","4,6",Loja de vestidos de noiva,       (42) 3522-4431      ,       facebook.com      ,Cores e Brilhos,18
"       R. Prudente de Morais, Número 153 - Centro, União da Vitória - SC, 89400-000      ",,Loja de Roupa,,,Jeans Store Porto União,19
"       Av. Interventor Manoel Ribas, 427 - Centro, União da Vitória - PR, 84600-000      ",,Loja de Roupa,       (42) 3522-9024      ,       maiseconomica.com.br      ,Loja Mais Economica,20
"       R. Siqueira Campos, 114 - Centro, Porto União - SC, 89400-000      ","4,5",Loja de Roupa,       (42) 3522-0590      ,       ciadamalha.com.br      ,Cia da malha - Porto União,1
"       R. Profa. Amazília, 644 - Centro, União da Vitória - PR, 84600-285      ",,Loja de Roupa,       (42) 99113-6691      ,       emellymodas.com.br      ,Emelly Modas,2
"       R. Profa. Amazília, 288 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja de moda infantil,       (42) 3524-2698      ,       lojatuttibambini.com.br      ,Tutti Bambini,3
"       R. Carlos Cavalcante, 223 - Centro, União da Vitória - PR, 84600-000      ","4,8",Loja de Roupa,       (42) 3522-4343      ,,Vencedora Calçados e Confecções,4
"       R. Prof. Cleto, 124 - Centro, União da Vitória - PR, 84600-970      ",,Loja de moda feminina,       (42) 3522-8265      ,,Belle Modas - Roupas Femininas,5
"       R. Paraná, 1122 - São Bernardo, União da Vitória - PR, 84600-000      ","3,0",Loja de Roupa,       (42) 3523-3339      ,,Balangandã Modas,6
"       R. Profa. Amazília, 4 - Centro, União da Vitória - PR, 84600-285      ","5,0",Loja de moda infantil,       (42) 3522-8695      ,       bacieabbracci.com.br      ,Baci & Abbracci,7
"       Av. Interventor Manoel Ribas, 91 - Centro, União da Vitória - PR, 84600-000      ",,Loja de roupas para bebês,       (42) 98813-2370      ,       storebabykids.com.br      ,Loja Baby Kids (Eloa Modas Ltda),8
"       R. Profa. Amazília, 127 - Centro, União da Vitória - PR, 84600-000      ","4,6",Loja de Roupa,,,Miss Bella,9
"       R. Mal. Deodoro, 780 - São Basílio Magno, União da Vitória - PR, 84600-000      ","5,0",Loja de Roupa,       (42) 3523-4076      ,,Loja Élles,10
"       R. Cel. João Gualberto, 360 - Centro, União da Vitória - PR, 84600-210      ",,Loja de roupas para jovens,       (42) 3523-1045      ,       facebook.com      ,Loja Conexão SP,11
"       Av. Interventor Manoel Ribas, 364 - Centro, União da Vitória - PR, 84600-280      ",,Loja de Roupa,       (42) 3522-9964      ,       facebook.com      ,Rei do Jeans,12
"       R. Profa. Amazília, 165 - Centro, União da Vitória - PR, 84600-285      ",,Loja especializada em roupas íntimas,       (42) 3522-6211      ,,Destake Moda íntima,13
"       R. Visc. de Guarapuava, 242 - Centro, União da Vitória - SC, 89400-000      ","5,0",Loja de Roupa,       (42) 99131-4963      ,       instagram.com      ,Muzi Estilo Casual,14
"       Av. Paula Freitas, 4220 - São Sebastião, União da Vitória - PR, 84600-000      ","4,3",Loja de Roupa,       (42) 3524-4568      ,,Loja Evelyn,15
"       R. Carlos Cavalcante, 129 - Centro, União da Vitória - PR, 84600-000      ","5,0",Loja de Roupa,,,Loja Tânia,16
