address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"Rua 1500, 900","4,9",Escritório de advocacia, (47) 3311-5151 · ,http://gjsadvogados.com.br/,Dr. Guilherme João Sombrio Advocacia do Trabalho e da Previdência Social,234,True,,,,
"R. Francisco Bernardes, 47","5,0",Assistência jurídica, (47) 3248-9741 · ,,Advocacia Rebelo,235,,,,,
"Edifício Espaço Empresarial - R. Laguna, 242 - 302","4,4",Empresa de advocacia, (47) 2125-1840 · ,http://reisgoncalves.com.br/,Reis Gonçalves Associados,236,True,,,,
"R. 2028, 125 - Sala 11","4,9",Advogado, (47) 99783-2983 · ,/aclk?sa=l&ai=DChcSEwjoudn-udjrAhUGBpEKHXIBD0EYABAAGgJjZQ&sig=AOD64_09PoG15ZtdkNzA765OUlAPwB1SRQ&adurl&q&ctype=99,Cássio Temoteo da Costa & Advogados Associados,244,True,,,,
"R. Dr. Leoberto Leal, 89","5,0",Advogado, (47) 3046-1665 · ,http://www.rgdadv.com.br/,"Rizieri, Goetten & Davel Advogados",245,,True,True,https://www.facebook.com/rgassociados/,https://www.instagram.com/rgdadvogados/
"R. Uruguai, 735","5,0",Advogado, (47) 3046-0557 · ,http://fjassociados.adv.br/,RJ Advocacia,246,True,,,,
"R. Lauro Muller, 309 - sala 03","4,5",Advogado, (47) 2122-9533 · ,http://www.jgazaniga.com.br/,J.Gazaniga Advocacia,247,True,,,,
"Rua Marcos Gustavo Heusi, 131","5,0",Escritório de advocacia, (47) 99619-6556 · ,http://bit.ly/FanpageMansour,Amanda Mansour Advocacia & Assessoria Jurídica,248,,True,True,https://web.facebook.com/advocacia.mansour/posts,
"frente ao Fórum - R. Uruguai, 299","5,0",Advogado, (47) 3344-0196 · ,http://www.hahn.adv.br/,Leandro Hahn Advocacia,250,,True,True,,
"Av. Cel. Marcos Konder, 1024","5,0",Escritório da empresa, (47) 99163-9450 · ,,Itajaí Business Office,251,,,,,
"R. 902, 805","4,8",Escritório de advocacia, (47) 3366-0087 · ,https://www.ramonmacaneiro.adv.br/,Ramon Maçaneiro Advocacia,252,True,,,,
"Rua Frederico Augusto, Luiz Thieme, 225","5,0",Serviço de indicação de advogados, (47) 3348-0497 · ,http://www.deolaesilva.com.br/,DEOLA & SILVA ADVOGADOS ASSOCIADOS,253,True,,,,
"Avenida Atlântica, 2440, Ed. Aldebaran, Sala 16","5,0",Escritório de advocacia, (47) 3367-7918 · ,https://www.facebook.com/GottardiPereiraAdvogados,Gottardi & Pereira Advogados,254,,True,True,https://web.facebook.com/GottardiPereiraAdvogados/posts,
