address,classification,details,fone,link,name,position,has_instagram,has_facebook,facebook_link,link_problem,instagram_link
"R. Profa. Amazília, 472","5,0",Advogado criminal, (42) 99927-8637 · ,,Advocacia Moura Camargo,76,,,,,
"R. Cel. João Gualberto, 432","1,0",Escritório de advocacia, (42) 3523-4614 · ,,Sarah Gabriela Sampaio Advocacia e Consultoria,78,,,,,
"R. Prudente de Morais, 589","3,5",Tabelião, (42) 3522-3278 · ,,Cartório de Registro de Imóveis de Porto União,79,,,,,
"R. Paraná, nº 364","5,0",Escritório de advocacia, (42) 99158-9023 · ,http://loures.adv.br/,Loures & Zabandzala Advocacia - Advogadas Célia Claudia Loures e Neide Zabandzala,80,False,False,,,
"R. Sete de Setembro, 162","1,0",Tabelião, (42) 3522-2142 · ,,2° Tabelionato de Notas e Protestos de Porto União/SC,81,,,,,
"R. Bernardina Souza Schleder, 40","3,1",Advogado, (42) 3523-4809 · ,,Alves de Lima Advocacia,82,,,,,
"Rua Coronel Benjamin Belarmino, 123 - 2","4,0",Consultoria, (42) 3522-2018 · ,http://www.portouniao.sc.gov.br/,Porto União Serviços Ltda,83,False,True,https://www.facebook.com/portouniao,,
"Av. Abilon de Souza Naves, 1115","5,0",Escritório de advocacia, (42) 3523-3344 · ,,Castilho Advocacia,84,,,,,
"R. XV de Novembro, 155","5,0",Cartório de Registro Civil, (42) 3522-2342 · ,,REGISTRO CIVIL TÍTULOS E DOCUMENTOS PESSOA JURÍDICA,85,,,,,
R. Prudente de Morais,"5,0",Construtora, (42) 98807-7093 · ,,DVP Engenharia,86,,,,,
,"5,0",, (42) 99136-0987 · ,,Artis Management & Business,87,,,,,
"R. Cruz Machado, 493","5,0",Promotor público, (42) 3522-6693 · ,http://www2.mppr.mp.br/sis/ext/cgi-bin/dfrun2.cgi?ENV=/usr1/env/srhger.env&FLX=isrh8003&ARG1=UNIAO%20DA%20VITORIA,Promotoria de Justiça de União da Vitória,88,False,False,,,
"R. Mal. Floriano Peixoto, 326","5,0",, (42) 3522-1385 · ,http://www.oabpr.org.br/,OAB/PR - Subseção de União da Vitória,89,True,True,https://www.facebook.com/oabpr.oficial,,https://www.instagram.com/oab_pr/
"R. Profa. Amazília, 593","5,0",Centro de defesa do consumidor, (42) 3524-4346 · ,http://uniaodavitoria.pr.gov.br/procon-uniao-da-vitoria/,Procon Municipal de União da Vitória,90,True,True,,,
"R. Benjamin Constant, 760","5,0",Cartório de Registro de Imóveis, (42) 98861-1633 · ,,cartorio de registro de imoveis,91,,,,,
"Rua Desembargador, R. Costa Carvalho, 284","4,7",Gráfica, (42) 3522-3188 · ,http://www.inovadg.com.br/,Inova Gráfica e Comunicação Visual,93,True,True,https://www.facebook.com/inovacomvisual/,,https://www.instagram.com/inovacomvisualuva/
