address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"Rua 1500, n. 1121 - sala 01","3,3",Escritório de contabilidade, (47) 99952-5503 · ,https://contabilidade-balland.negocio.site/,Contabilidade Balland,347,,False,False,,
"Rua 910, nº 599, piso superior","5,0",Escritório de contabilidade, (47) 3367-9260 · ,http://www.martinseamorim.com.br/,MARTINS & AMORIM CONTABILIDADE,348,,False,True,,
"R. Joaquim José de Freitas, 294","5,0",Empresa de Auditoria, (47) 3246-6284 · ,http://www.capacetedebombeiro.com.br/contato,Capacete de Bombeiro,349,,False,True,https://www.facebook.com/capacetedebombeiro,
"Ed. Riviera Concept - Av. Osvaldo Reis, 3385 - Sala 1209","5,0",Advogado, (47) 99191-9580 · ,,Guilherme Traple Advogados Associados,350,,,,,
"R. 2000, 151 - Sala 01/04","5,0",Assessoria contábil, (47) 3367-7283 · ,http://www.aruveel.com.br/,Aruveel Contabilidade,351,,False,False,,
"R. 901, 400 - Sala 305","5,0",Assessoria contábil, (47) 3367-9103 · ,,Inova Assessoria Contábil,369,,,,,
"R. Jamaica, 122","4,7",Assessoria contábil, (47) 3366-4176 · ,http://www.factoscontabilidade.com.br/,Factos Contabilidade,370,,False,True,https://www.facebook.com/FACTOSCONTABILIDADE/,
"n sala 301 Edifícil Empresarial Gonzaga Centro, Av. Nereu Liberato Nunes, 588","5,0",Advogado tributarista, (47) 3065-5600 · ,,AL&G Advocacia e Consultoria Jurídica,371,,,,,
"Rod SC 414, 4264, Km 04","5,0",Assessoria contábil, (47) 3319-0046 · ,https://www.facebook.com/exitoconsultcontabil,Êxito Contabilidade,372,,True,True,https://web.facebook.com/exitoconsultcontabil/posts,
"R. 700, 603","5,0",Assessoria contábil, (47) 3360-0433 · ,,Contabilidade Giovanella,373,,,,,
"R. 1201, 281","5,0",Assessoria contábil, (47) 3367-4853 · ,http://www.galatascontabilidade.com.br/,Gálatas Contabilidade,374,,True,True,,
"Rua 1542, 715","5,0",Assessoria contábil, (47) 3367-5583 · ,https://contabilidade-camboriu.negocio.site/,Contabilidade Camboriú,377,,False,False,,
"Av. Martin Luther, 248 - sala 102","5,0",Perito em contabilidade, (47) 3366-5510 · ,http://www.alfacontabil.net/,Alfa Consultoria Contábil,378,,False,False,,
"R. Otávio Cesário Pereira, 1180","5,0",Empresa de Auditoria, (47) 3046-6526 · ,https://drcservicosmaritimos.negocio.site/,DRC Serviços Marítimos,379,,False,False,,
"R. Juvenal García, nº 75","5,0",Advogado tributarista, (47) 99149-3145 · ,http://lausmanngomesadvocacia.com/?utm_source=gmb&utm_medium=referral,Lausmann Gomes Advocacia e Consultoria Jurídica,380,,False,True,https://www.facebook.com/lgadvocacia.net/settings/?tab=settings&ref=page_edit,
"Av. Pref. José Juvenal Mafra, 7754","4,2",Assessoria contábil, (47) 3319-0420 · ,https://www.navecon.net.br/,NaveCon Contabilidade,381,True,,,,
"R. Uruguai, 122 - Sala 3","4,8",Área de escritórios, (47) 3046-5700 · ,http://www.oniqua.com.br/,Oniqua Escritórios Virtuais & Coworking,382,,True,True,https://www.facebook.com/oniquaescritoriosvirtuais/,https://instagram.com/oniquaescritoriosvirtuais/
"R. 2400, 755","4,0",Assessoria contábil, (47) 99260-5300 · ,http://www.emaccontabilidade.com.br/,EMAC CONTABILIDADE,383,,False,False,,
"Av. Getúlio Vargas, 162 - sl. 25","5,0",Advogado trabalhista, (47) 98406-8926 · ,http://www.schmidtadvocacia.com/,Schmidt - Advocacia & Assessoria Jurídica,384,True,,,,
"Rua 100, 151 - sala","5,0",Escritório de contabilidade, (47) 3363-1131 · ,,Angelino Albano,385,,,,,
"R. 3610, nº 237 - Sala 6","5,0",Escritório de contabilidade, (47) 3311-6534 · ,http://www.restituicaodosimples.com.br/,Tribut Consultoria Tributária,386,,False,True,,
"Av. Central, 151 - Sobreloja","4,0",Assessoria contábil, (47) 3367-7400 · ,https://karrer.com.br/fale-conosco/,Contabilidade Karrer,387,,True,True,,
"Av. Emanuel Pinto, 489","5,0",Assessoria contábil, (47) 3345-0111 · ,,Eskriba Escritório Contábil,388,,,,,
"R. Secretário José Schubert Júnior, 912","5,0",Assessoria contábil, (47) 98423-4963 · ,http://www.naveganews.blogspot.com/,NavegaNews,389,,False,True,https://www.blogger.com/share-post.g?blogID=3146447289690659268&postID=6550760230697955280&target=facebook,
"R. Libéria, 146","3,0",Serviço de escrituração contábil, (47) 3367-4043 · ,http://www.papyrus.cnt.br/,Papyrus Contabilidade,390,,False,True,,
"Praça Higino João Pio, R. 55, 50","5,0",Assessoria contábil, (47) 3367-3836 · ,http://www.excelconsultoria.com.br/,Excel Contabilidade,399,,False,False,,
"R. 500, n 574","5,0",Assessoria contábil, (47) 3360-0330 · ,http://www.contabilidadeintegra.com.br/,Contabilidade Íntegra,400,,False,False,,
"R. 951, 241 - 1","5,0",Assessoria contábil, (47) 3036-6401 · ,http://www.tambosicontadores.com.br/,Tambosi Contadores,401,,False,False,,
"3ª Avenida, 1113","4,2",Assessoria contábil, (47) 2104-2050 · ,http://www.contabilidadegemeos.com/,Contabilidade Gêmeos,402,,True,True,https://www.facebook.com/ContabilidadeGemeos/?fref=ts,https://www.instagram.com/contabilidadegemeos/
"R. 1910, 333 - Sala 04","4,2",Escritório de contabilidade, (47) 3367-7783 · ,http://www.diretrizpericia.com.br/,Diretriz Perícia Contábil,403,,False,True,http://www.facebook.com/wix,
"Rua Romeu Pereira, número 84 - Sala 2202","4,8",Empresa de Auditoria, (48) 99953-7115 · ,http://renovarecondominios.com.br/,Renovare - Gestão de Condomínios,404,,False,False,,
"R. Dr. Amadeu da Luz, 132","4,0",Assessoria contábil, (47) 3035-1267 · ,http://www.escoblu.com.br/,Escritório de Contabilidade Blumenau Ltda,405,,False,False,,
"R. 3300, 260","5,0",Investigador particular, (47) 99910-2353 · ,http://www.detetiveabacus.com.br/pb/,Detetive Ábacus Investigações e Perícias,406,,False,True,http://www.facebook.com/,
