team_back,team_home,score,datetime
                South Korea,                Bosnia H,                    1 - 1,2020-02-06 11:52:00
                Ivory Coast,                Algeria,                    1 - 0,2020-02-06 11:55:00
                Costa Rica,                Nigeria,                    2 - 1,2020-02-06 11:58:00
                Portugal,                South Korea,                    2 - 2,2020-02-06 12:01:00
                Spain,                Iran,                    3 - 1,2020-02-06 12:04:00
                Sweden,                Ukraine,                    0 - 1,2020-02-06 12:07:00
                Costa Rica,                Italy,                    1 - 3,2020-02-06 12:10:00
                Ivory Coast,                Croatia,                    2 - 1,2020-02-06 12:13:00
                England,                Mexico,                    0 - 2,2020-02-06 12:16:00
                Costa Rica,                Japan,                    2 - 2,2020-02-06 12:19:00
                Iran,                Croatia,                    3 - 1,2020-02-06 12:22:00
                Greece,                Sweden,                    1 - 1,2020-02-06 12:25:00
                Sweden,                France,                    3 - 0,2020-02-06 12:28:00
                Honduras,                Russia,                    1 - 0,2020-02-06 12:31:00
                Australia,                Ivory Coast,                    1 - 2,2020-02-06 12:34:00
                Ivory Coast,                South Korea,                    0 - 1,2020-02-06 12:37:00
                Australia,                Portugal,                    2 - 1,2020-02-06 12:40:00
                Portugal,                Ukraine,                    0 - 1,2020-02-06 12:43:00
                Greece,                Spain,                    0 - 1,2020-02-06 12:46:00
                Holland,                USA,                    1 - 2,2020-02-06 12:49:00
                Czech Republic,                Portugal,                    0 - 2,2020-02-06 12:52:00
                Holland,                Republic of Ireland,                    1 - 2,2020-02-06 12:55:00
                Germany,                Italy,                    2 - 0,2020-02-06 12:58:00
                Greece,                Germany,                    2 - 2,2020-02-06 13:01:00
                Sweden,                Czech Republic,                    2 - 0,2020-02-06 13:04:00
                South Korea,                Belgium,                    2 - 1,2020-02-06 13:07:00
                Brazil,                Costa Rica,                    2 - 0,2020-02-06 13:10:00
                Republic of Ireland,                Russia,                    2 - 0,2020-02-06 13:13:00
                Portugal,                Republic of Ireland,                    0 - 1,2020-02-06 13:16:00
                Croatia,                England,                    1 - 0,2020-02-06 13:19:00
                Holland,                Czech Republic,                    2 - 2,2020-02-06 13:22:00
                France,                Holland,                    0 - 2,2020-02-06 13:25:00
                Russia,                England,                    2 - 0,2020-02-06 13:28:00
                Portugal,                Brazil,                    2 - 0,2020-02-06 13:31:00
                Iran,                Spain,                    1 - 1,2020-02-06 13:34:00
                Russia,                Greece,                    0 - 0,2020-02-06 13:37:00
                Croatia,                Holland,                    2 - 0,2020-02-06 13:40:00
                Russia,                Croatia,                    4 - 0,2020-02-06 13:43:00
                Germany,                Holland,                    1 - 1,2020-02-06 13:46:00
                Greece,                Italy,                    0 - 3,2020-02-06 13:49:00
                Colombia,                Costa Rica,                    3 - 0,2020-02-06 13:52:00
                Poland,                Denmark,                    0 - 0,2020-02-06 13:55:00
                Denmark,                Portugal,                    1 - 0,2020-02-06 13:58:00
                Czech Republic,                England,                    2 - 1,2020-02-06 14:01:00
                Republic of Ireland,                Portugal,                    1 - 0,2020-02-06 14:04:00
                Czech Republic,                Denmark,                    0 - 1,2020-02-06 14:07:00
                Poland,                Portugal,                    3 - 1,2020-02-06 14:10:00
                Greece,                Republic of Ireland,                    1 - 0,2020-02-06 14:13:00
                Russia,                Japan,                    1 - 0,2020-02-06 14:16:00
                Mexico,                Holland,                    3 - 1,2020-02-06 14:19:00
                Czech Republic,                Holland,                    0 - 1,2020-02-06 14:22:00
                England,                Russia,                    1 - 1,2020-02-06 14:25:00
                Belgium,                Switzerland,                    0 - 2,2020-02-06 14:28:00
                Croatia,                Portugal,                    0 - 0,2020-02-06 14:31:00
                Greece,                USA,                    2 - 1,2020-02-06 14:34:00
                Holland,                Ivory Coast,                    1 - 2,2020-02-06 14:37:00
                Croatia,                Russia,                    1 - 2,2020-02-06 14:40:00
                Germany,                Denmark,                    0 - 0,2020-02-06 14:43:00
                Holland,                Greece,                    1 - 1,2020-02-06 14:46:00
                France,                Croatia,                    1 - 0,2020-02-06 14:49:00
                Iran,                USA,                    0 - 3,2020-02-06 14:52:00
                France,                Sweden,                    1 - 0,2020-02-06 14:55:00
                Holland,                Denmark,                    1 - 0,2020-02-06 14:58:00
                France,                Czech Republic,                    2 - 2,2020-02-06 15:01:00
                Japan,                Algeria,                    2 - 0,2020-02-06 15:04:00
                Ukraine,                Germany,                    1 - 2,2020-02-06 15:07:00
                France,                Poland,                    1 - 1,2020-02-06 15:10:00
                Honduras,                Belgium,                    2 - 0,2020-02-06 15:13:00
                USA,                Belgium,                    1 - 1,2020-02-06 15:16:00
                Spain,                Greece,                    0 - 1,2020-02-06 15:19:00
                Ghana,                Uruguay,                    3 - 1,2020-02-06 15:22:00
                South Korea,                Honduras,                    0 - 2,2020-02-06 15:25:00
                Australia,                England,                    1 - 2,2020-02-06 15:28:00
                France,                Croatia,                    0 - 0,2020-02-06 15:31:00
                Italy,                Sweden,                    3 - 1,2020-02-06 15:34:00
                Japan,                Spain,                    1 - 0,2020-02-06 15:37:00
                USA,                Australia,                    3 - 1,2020-02-06 15:40:00
                Italy,                Belgium,                    0 - 1,2020-02-06 15:43:00
                Italy,                Argentina,                    4 - 0,2020-02-06 15:46:00
                Czech Republic,                Ukraine,                    1 - 3,2020-02-06 15:49:00
                Holland,                Russia,                    1 - 0,2020-02-06 15:52:00
                France,                Ivory Coast,                    3 - 0,2020-02-06 15:55:00
                Holland,                Portugal,                    1 - 1,2020-02-06 15:58:00
                Mexico,                Australia,                    1 - 1,2020-02-06 16:01:00
                Croatia,                France,                    2 - 0,2020-02-06 16:04:00
                France,                Portugal,                    1 - 1,2020-02-06 16:07:00
                Switzerland,                Bosnia H,                    1 - 1,2020-02-06 16:10:00
                Poland,                Sweden,                    2 - 0,2020-02-06 16:13:00
                Italy,                Mexico,                    2 - 2,2020-02-06 16:16:00
                Japan,                Australia,                    0 - 1,2020-02-06 16:19:00
                Greece,                France,                    0 - 3,2020-02-06 16:22:00
                Switzerland,                Colombia,                    1 - 1,2020-02-06 16:25:00
Croatia,Germany,4 - 0,2020-02-06 16:28:00
Iran,Holland,0 - 0,2020-02-06 16:31:00
Croatia,Italy,1 - 0,2020-02-06 16:34:00
Nigeria,Spain,1 - 1,2020-02-06 16:37:00
Italy,Denmark,0 - 2,2020-02-06 16:40:00
France,Denmark,0 - 0,2020-02-06 16:43:00
Holland,France,4 - 0,2020-02-06 16:46:00
Costa Rica,Uruguay,0 - 2,2020-02-06 16:49:00
Czech Republic,Germany,3 - 1,2020-02-06 16:52:00
Italy,Holland,2 - 1,2020-02-06 16:55:00
Russia,Spain,0 - 0,2020-02-06 16:58:00
Spain,Holland,1 - 0,2020-02-06 17:01:00
Mexico,Japan,1 - 1,2020-02-06 17:04:00
Italy,Algeria,2 - 2,2020-02-06 17:07:00
England,Sweden,1 - 1,2020-02-06 17:10:00
Portugal,Greece,1 - 0,2020-02-06 17:13:00
Honduras,Ivory Coast,1 - 0,2020-02-06 17:16:00
Ukraine,England,3 - 0,2020-02-06 17:19:00
Holland,England,3 - 0,2020-02-06 17:22:00
Denmark,France,0 - 0,2020-02-06 17:25:00
England,Greece,0 - 0,2020-02-06 17:28:00
Chile,Honduras,1 - 2,2020-02-06 17:31:00
Greece,Portugal,3 - 1,2020-02-06 17:34:00
Costa Rica,Australia,1 - 1,2020-02-06 17:37:00
Ghana,Iran,0 - 4,2020-02-06 17:40:00
Ukraine,France,2 - 0,2020-02-06 17:43:00
England,Germany,3 - 0,2020-02-06 17:46:00
Denmark,Greece,1 - 2,2020-02-06 17:49:00
Nigeria,Italy,0 - 0,2020-02-06 17:52:00
Germany,Czech Republic,1 - 0,2020-02-06 17:55:00
Holland,Italy,3 - 0,2020-02-06 17:58:00
Portugal,Poland,0 - 2,2020-02-06 18:01:00
Spain,Denmark,1 - 0,2020-02-06 18:04:00
Germany,England,1 - 1,2020-02-06 18:07:00
Brazil,Ecuador,0 - 2,2020-02-06 18:10:00
Croatia,Portugal,2 - 2,2020-02-06 18:13:00
Croatia,Algeria,2 - 2,2020-02-06 18:16:00
Colombia,Switzerland,2 - 1,2020-02-06 18:19:00
Costa Rica,Belgium,1 - 0,2020-02-06 18:22:00
Germany,Portugal,0 - 3,2020-02-06 18:25:00
Germany,Republic of Ireland,1 - 0,2020-02-06 18:28:00
Denmark,Holland,1 - 0,2020-02-06 18:31:00
Holland,Germany,1 - 0,2020-02-06 18:34:00
Ukraine,Spain,3 - 0,2020-02-06 18:37:00
England,Portugal,0 - 2,2020-02-06 18:40:00
Portugal,Ivory Coast,2 - 2,2020-02-06 18:43:00
Sweden,Denmark,1 - 1,2020-02-06 18:46:00
Sweden,Germany,1 - 1,2020-02-06 18:49:00
England,Czech Republic,3 - 1,2020-02-06 18:52:00
South Korea,Greece,1 - 1,2020-02-06 18:55:00
                Greece,                Denmark,                    1 - 1,2020-02-06 19:01:00
                USA,                Ivory Coast,                    0 - 2,2020-02-06 19:04:00
                Czech Republic,                Holland,                    2 - 0,2020-02-06 19:07:00
                Holland,                Russia,                    1 - 0,2020-02-06 19:10:00
                Honduras,                France,                    0 - 3,2020-02-06 19:13:00
                France,                Algeria,                    1 - 1,2020-02-06 19:16:00
                Portugal,                Greece,                    0 - 1,2020-02-06 19:19:00
                Portugal,                Russia,                    0 - 0,2020-02-06 19:22:00
                Spain,                Denmark,                    1 - 2,2020-02-06 19:25:00
                Czech Republic,                Denmark,                    0 - 0,2020-02-06 19:28:00
                Russia,                Greece,                    0 - 1,2020-02-06 19:31:00
                Spain,                Holland,                    1 - 1,2020-02-06 19:34:00
                Poland,                Spain,                    1 - 1,2020-02-06 19:37:00
                Holland,                Czech Republic,                    1 - 0,2020-02-06 19:40:00
                France,                Ukraine,                    1 - 3,2020-02-06 19:43:00
                Costa Rica,                Nigeria,                    0 - 2,2020-02-06 19:46:00
                Honduras,                Ghana,                    1 - 1,2020-02-06 19:49:00
                Ivory Coast,                Croatia,                    2 - 1,2020-02-06 19:52:00
                Spain,                Russia,                    0 - 3,2020-02-06 19:55:00
                Denmark,                Croatia,                    3 - 0,2020-02-06 19:58:00
                Sweden,                Croatia,                    1 - 2,2020-02-06 20:01:00
                Italy,                Ecuador,                    1 - 2,2020-02-06 20:04:00
                Sweden,                Republic of Ireland,                    0 - 2,2020-02-06 20:07:00
                Croatia,                Czech Republic,                    0 - 0,2020-02-06 20:10:00
                Greece,                England,                    0 - 2,2020-02-06 20:13:00
                Croatia,                Portugal,                    2 - 1,2020-02-06 20:16:00
                Czech Republic,                Spain,                    1 - 1,2020-02-06 20:19:00
                Japan,                England,                    1 - 3,2020-02-06 20:22:00
                Croatia,                Sweden,                    2 - 2,2020-02-06 20:25:00
                Czech Republic,                England,                    3 - 0,2020-02-06 20:28:00
                Germany,                Poland,                    2 - 0,2020-02-06 20:31:00
                Cameroon,                Mexico,                    1 - 0,2020-02-06 20:34:00
                Japan,                Nigeria,                    3 - 1,2020-02-06 20:37:00
                Spain,                Poland,                    2 - 1,2020-02-06 20:40:00
                Belgium,                Greece,                    2 - 2,2020-02-06 20:43:00
                Italy,                Sweden,                    2 - 2,2020-02-06 20:46:00
                Cameroon,                Greece,                    0 - 2,2020-02-06 20:49:00
                England,                Czech Republic,                    1 - 2,2020-02-06 20:52:00
                Holland,                Poland,                    0 - 2,2020-02-06 20:55:00
                Sweden,                Ukraine,                    2 - 1,2020-02-06 20:58:00
                Republic of Ireland,                England,                    0 - 0,2020-02-06 21:01:00
                Poland,                Republic of Ireland,                    3 - 0,2020-02-06 21:04:00
                Holland,                Germany,                    3 - 0,2020-02-06 21:07:00
                Germany,                England,                    2 - 1,2020-02-06 21:10:00
                Russia,                Brazil,                    2 - 1,2020-02-06 21:13:00
                Ecuador,                Australia,                    0 - 0,2020-02-06 21:16:00
                USA,                South Korea,                    1 - 1,2020-02-06 21:19:00
                Australia,                Colombia,                    0 - 0,2020-02-06 21:22:00
                Colombia,                Croatia,                    0 - 0,2020-02-06 21:25:00
                Italy,                Russia,                    1 - 1,2020-02-06 21:28:00
                Spain,                England,                    0 - 1,2020-02-06 21:31:00
                Algeria,                Costa Rica,                    2 - 2,2020-02-06 21:34:00
                South Korea,                Colombia,                    1 - 2,2020-02-06 21:37:00
                Italy,                France,                    1 - 1,2020-02-06 21:40:00
                England,                Ghana,                    1 - 2,2020-02-06 21:43:00
                Spain,                Sweden,                    0 - 0,2020-02-06 21:46:00
                Bosnia H,                Argentina,                    2 - 0,2020-02-06 21:49:00
                Croatia,                Japan,                    2 - 1,2020-02-06 21:52:00
                Germany,                Russia,                    2 - 0,2020-02-06 21:55:00
                Honduras,                Germany,                    1 - 1,2020-02-06 21:58:00
                Ukraine,                Germany,                    0 - 1,2020-02-06 22:01:00
                Czech Republic,                Croatia,                    1 - 3,2020-02-06 22:04:00
                Bosnia H,                Chile,                    2 - 1,2020-02-06 22:07:00
                Ecuador,                Honduras,                    0 - 2,2020-02-06 22:10:00
                France,                Germany,                    1 - 1,2020-02-06 22:13:00
                Russia,                Sweden,                    2 - 2,2020-02-06 22:16:00
                Germany,                Czech Republic,                    0 - 0,2020-02-06 22:19:00
                Russia,                France,                    1 - 1,2020-02-06 22:22:00
                Switzerland,                Iran,                    0 - 0,2020-02-06 22:25:00
                Croatia,                Ghana,                    1 - 0,2020-02-06 22:28:00
                Denmark,                France,                    3 - 1,2020-02-06 22:31:00
                Honduras,                Spain,                    1 - 1,2020-02-06 22:34:00
                Iran,                Australia,                    2 - 0,2020-02-06 22:37:00
                Italy,                Spain,                    1 - 2,2020-02-06 22:40:00
                France,                Japan,                    0 - 2,2020-02-06 22:43:00
                Costa Rica,                Portugal,                    0 - 0,2020-02-06 22:46:00
                South Korea,                Switzerland,                    1 - 1,2020-02-06 22:49:00
                Germany,                Portugal,                    2 - 0,2020-02-06 22:52:00
                Croatia,                Holland,                    3 - 1,2020-02-06 22:55:00
                Greece,                Republic of Ireland,                    2 - 1,2020-02-06 22:58:00
                Republic of Ireland,                Italy,                    3 - 0,2020-02-06 23:01:00
                Croatia,                Spain,                    1 - 3,2020-02-06 23:04:00
                Holland,                Greece,                    2 - 1,2020-02-06 23:07:00
                Costa Rica,                Russia,                    2 - 2,2020-02-06 23:10:00
                Ivory Coast,                Japan,                    0 - 0,2020-02-06 23:13:00
                Portugal,                France,                    1 - 2,2020-02-06 23:16:00
                Republic of Ireland,                Portugal,                    1 - 0,2020-02-06 23:19:00
                Holland,                Italy,                    1 - 2,2020-02-06 23:22:00
                France,                Greece,                    3 - 1,2020-02-06 23:25:00
                Honduras,                Germany,                    2 - 1,2020-02-06 23:40:00
                Portugal,                Chile,                    1 - 0,2020-02-06 23:43:00
                Bosnia H,                Ivory Coast,                    0 - 2,2020-02-06 23:46:00
                Spain,                Portugal,                    2 - 2,2020-02-06 23:49:00
                Germany,                Russia,                    0 - 1,2020-02-06 23:52:00
                Spain,                Denmark,                    2 - 2,2020-02-06 23:55:00
                Holland,                Italy,                    1 - 0,2020-02-06 23:58:00
                Denmark,                Greece,                    1 - 0,2020-02-07 00:01:00
                Switzerland,                Holland,                    1 - 1,2020-02-07 00:04:00
                Italy,                France,                    1 - 2,2020-02-07 00:07:00
                Belgium,                South Korea,                    1 - 2,2020-02-07 00:10:00
                Chile,                Cameroon,                    0 - 1,2020-02-07 00:13:00
                Uruguay,                England,                    1 - 2,2020-02-07 00:16:00
                France,                Russia,                    1 - 1,2020-02-07 00:19:00
                Costa Rica,                South Korea,                    1 - 3,2020-02-07 00:22:00
                Holland,                Greece,                    1 - 0,2020-02-07 00:25:00
                South Korea,                England,                    1 - 0,2020-02-07 00:28:00
                Portugal,                Spain,                    1 - 0,2020-02-07 00:31:00
                France,                Holland,                    1 - 0,2020-02-07 00:34:00
                Iran,                USA,                    2 - 2,2020-02-07 00:37:00
                Iran,                Costa Rica,                    2 - 2,2020-02-07 00:40:00
                Germany,                Argentina,                    0 - 0,2020-02-07 00:43:00
                Honduras,                Holland,                    1 - 0,2020-02-07 00:46:00
                Colombia,                Ghana,                    0 - 1,2020-02-07 00:49:00
                Ukraine,                Denmark,                    1 - 2,2020-02-07 00:52:00
                Sweden,                England,                    1 - 0,2020-02-07 00:55:00
                France,                Mexico,                    2 - 1,2020-02-07 00:58:00
                England,                South Korea,                    0 - 2,2020-02-07 01:01:00
                Poland,                Spain,                    1 - 0,2020-02-07 01:04:00
                Australia,                Switzerland,                    4 - 0,2020-02-07 01:07:00
                Ghana,                Switzerland,                    0 - 0,2020-02-07 01:10:00
                Germany,                Greece,                    1 - 0,2020-02-07 01:13:00
                France,                Argentina,                    2 - 1,2020-02-07 01:16:00
                Spain,                Denmark,                    0 - 2,2020-02-07 01:19:00
                Colombia,                England,                    0 - 0,2020-02-07 01:22:00
                Colombia,                Costa Rica,                    3 - 1,2020-02-07 01:25:00
                Nigeria,                Ecuador,                    0 - 0,2020-02-07 01:28:00
                Ukraine,                Republic of Ireland,                    2 - 0,2020-02-07 01:31:00
                Republic of Ireland,                Czech Republic,                    3 - 0,2020-02-07 01:34:00
                Russia,                Greece,                    2 - 1,2020-02-07 01:37:00
                Algeria,                USA,                    0 - 2,2020-02-07 01:40:00
                Mexico,                Croatia,                    0 - 0,2020-02-07 01:43:00
                Ghana,                Japan,                    1 - 0,2020-02-07 01:46:00
                Nigeria,                Iran,                    3 - 0,2020-02-07 01:49:00
                Italy,                Portugal,                    0 - 3,2020-02-07 01:52:00
                Czech Republic,                Russia,                    0 - 0,2020-02-07 01:55:00
                Brazil,                France,                    1 - 2,2020-02-07 01:58:00
                Sweden,                Holland,                    1 - 2,2020-02-07 02:01:00
                Germany,                Nigeria,                    1 - 0,2020-02-07 02:04:00
                Croatia,                England,                    1 - 0,2020-02-07 02:07:00
                Croatia,                Uruguay,                    1 - 1,2020-02-07 02:10:00
                Ivory Coast,                Germany,                    0 - 0,2020-02-07 02:13:00
                Switzerland,                Algeria,                    1 - 0,2020-02-07 02:16:00
                Spain,                Greece,                    1 - 2,2020-02-07 02:19:00
                Croatia,                Republic of Ireland,                    0 - 0,2020-02-07 02:22:00
                England,                Sweden,                    1 - 0,2020-02-07 02:25:00
                Czech Republic,                France,                    0 - 0,2020-02-07 02:28:00
                Ivory Coast,                Belgium,                    4 - 0,2020-02-07 02:31:00
                England,                Spain,                    0 - 1,2020-02-07 02:34:00
                France,                Poland,                    1 - 2,2020-02-07 02:37:00
                Chile,                Colombia,                    0 - 0,2020-02-07 02:40:00
                Ivory Coast,                Nigeria,                    1 - 0,2020-02-07 02:43:00
                Switzerland,                Chile,                    0 - 2,2020-02-07 02:46:00
                Ghana,                Argentina,                    3 - 0,2020-02-07 02:49:00
                Argentina,                Iran,                    0 - 1,2020-02-07 02:52:00
                Sweden,                Croatia,                    1 - 2,2020-02-07 02:55:00
                Ghana,                Russia,                    2 - 1,2020-02-07 02:58:00
                Croatia,                Sweden,                    2 - 1,2020-02-07 03:01:00
                Australia,                Spain,                    2 - 2,2020-02-07 03:04:00
                Germany,                France,                    1 - 1,2020-02-07 03:07:00
                Portugal,                Germany,                    2 - 1,2020-02-07 03:10:00
                Czech Republic,                Poland,                    1 - 1,2020-02-07 03:13:00
                Republic of Ireland,                Poland,                    1 - 1,2020-02-07 03:16:00
                Portugal,                Nigeria,                    0 - 0,2020-02-07 03:19:00
                Japan,                Russia,                    1 - 2,2020-02-07 03:22:00
                Greece,                Germany,                    0 - 3,2020-02-07 03:25:00
                Greece,                Ivory Coast,                    0 - 2,2020-02-07 03:28:00
                England,                Czech Republic,                    1 - 0,2020-02-07 03:31:00
                Switzerland,                Croatia,                    2 - 2,2020-02-07 03:34:00
                France,                Spain,                    2 - 2,2020-02-07 03:37:00
                Greece,                Switzerland,                    0 - 0,2020-02-07 03:40:00
                Russia,                South Korea,                    1 - 0,2020-02-07 03:43:00
                Germany,                Spain,                    0 - 2,2020-02-07 03:46:00
                England,                Denmark,                    1 - 0,2020-02-07 03:49:00
                Sweden,                Greece,                    1 - 3,2020-02-07 03:52:00
                Honduras,                England,                    0 - 0,2020-02-07 03:55:00
                Croatia,                Ukraine,                    0 - 0,2020-02-07 03:58:00
                Honduras,                Belgium,                    3 - 1,2020-02-07 04:01:00
                South Korea,                Italy,                    3 - 0,2020-02-07 04:04:00
                Croatia,                Italy,                    1 - 1,2020-02-07 04:07:00
                Denmark,                Czech Republic,                    3 - 1,2020-02-07 04:10:00
                Italy,                Czech Republic,                    3 - 1,2020-02-07 04:13:00
                France,                Iran,                    1 - 0,2020-02-07 04:16:00
                USA,                Croatia,                    1 - 1,2020-02-07 04:19:00
                Germany,                Poland,                    0 - 2,2020-02-07 04:22:00
                Cameroon,                Holland,                    1 - 2,2020-02-07 04:25:00
                England,                Colombia,                    2 - 1,2020-02-07 04:28:00
                Japan,                Switzerland,                    0 - 0,2020-02-07 04:31:00
                Spain,                Russia,                    1 - 0,2020-02-07 04:34:00
                Czech Republic,                Ukraine,                    1 - 2,2020-02-07 04:37:00
                Ecuador,                Russia,                    2 - 1,2020-02-07 04:40:00
                Portugal,                Algeria,                    1 - 0,2020-02-07 04:43:00
                Japan,                Greece,                    0 - 1,2020-02-07 04:46:00
                Bosnia H,                Switzerland,                    3 - 1,2020-02-07 04:49:00
                Costa Rica,                Spain,                    1 - 2,2020-02-07 04:52:00
                Ecuador,                Japan,                    0 - 1,2020-02-07 04:55:00
                Bosnia H,                Algeria,                    0 - 1,2020-02-07 04:58:00
                Portugal,                Switzerland,                    2 - 2,2020-02-07 05:01:00
                Poland,                Czech Republic,                    1 - 1,2020-02-07 05:04:00
                Republic of Ireland,                Ukraine,                    1 - 0,2020-02-07 05:07:00
                Portugal,                England,                    0 - 2,2020-02-07 05:10:00
                Portugal,                Republic of Ireland,                    0 - 1,2020-02-07 05:13:00
                Ivory Coast,                Brazil,                    3 - 0,2020-02-07 05:16:00
                USA,                Greece,                    0 - 1,2020-02-07 05:19:00
                Croatia,                Colombia,                    3 - 0,2020-02-07 05:22:00
                Croatia,                Czech Republic,                    0 - 2,2020-02-07 05:25:00
                Ukraine,                Croatia,                    2 - 0,2020-02-07 05:28:00
                France,                Greece,                    2 - 0,2020-02-07 05:31:00
                Denmark,                Germany,                    0 - 0,2020-02-07 05:34:00
                Sweden,                Denmark,                    2 - 1,2020-02-07 05:37:00
                Ecuador,                Algeria,                    1 - 2,2020-02-07 05:40:00
                Costa Rica,                Croatia,                    2 - 1,2020-02-07 05:43:00
                Uruguay,                South Korea,                    3 - 1,2020-02-07 05:46:00
                Mexico,                Switzerland,                    2 - 1,2020-02-07 05:49:00
                England,                Greece,                    1 - 0,2020-02-07 05:52:00
                Poland,                France,                    0 - 3,2020-02-07 05:55:00
                Chile,                Croatia,                    2 - 0,2020-02-07 05:58:00
                Nigeria,                Australia,                    1 - 1,2020-02-07 06:01:00
                Colombia,                Switzerland,                    2 - 1,2020-02-07 06:04:00
                Russia,                Germany,                    4 - 0,2020-02-07 06:07:00
                Germany,                Sweden,                    3 - 0,2020-02-07 06:10:00
                Poland,                Ukraine,                    2 - 1,2020-02-07 06:13:00
                Republic of Ireland,                Holland,                    2 - 1,2020-02-07 06:16:00
                Russia,                Poland,                    0 - 0,2020-02-07 06:19:00
                Greece,                Sweden,                    1 - 1,2020-02-07 06:22:00
                Spain,                England,                    0 - 2,2020-02-07 06:25:00
                Czech Republic,                Greece,                    1 - 2,2020-02-07 06:28:00
                Belgium,                Brazil,                    2 - 1,2020-02-07 06:31:00
                England,                Ecuador,                    0 - 1,2020-02-07 06:34:00
                Holland,                Spain,                    0 - 1,2020-02-07 06:37:00
                USA,                Italy,                    0 - 0,2020-02-07 06:40:00
                Holland,                Colombia,                    1 - 2,2020-02-07 06:43:00
                Switzerland,                Greece,                    2 - 0,2020-02-07 06:46:00
                Republic of Ireland,                Spain,                    1 - 2,2020-02-07 06:49:00
                Cameroon,                Iran,                    1 - 1,2020-02-07 06:52:00
                Republic of Ireland,                Denmark,                    2 - 1,2020-02-07 06:55:00
                Ivory Coast,                Switzerland,                    0 - 0,2020-02-07 06:58:00
                England,                Croatia,                    3 - 1,2020-02-07 07:01:00
                Colombia,                Australia,                    0 - 3,2020-02-07 07:04:00
                Argentina,                Bosnia H,                    1 - 2,2020-02-07 07:07:00
                Ecuador,                Uruguay,                    1 - 2,2020-02-07 07:10:00
                Poland,                Sweden,                    2 - 0,2020-02-07 07:13:00
                Greece,                Ecuador,                    3 - 0,2020-02-07 07:16:00
                Portugal,                Russia,                    2 - 1,2020-02-07 07:19:00
                Portugal,                Poland,                    1 - 1,2020-02-07 07:22:00
                Ecuador,                Croatia,                    1 - 0,2020-02-07 07:25:00
                Poland,                Germany,                    2 - 1,2020-02-07 07:28:00
                Italy,                Ukraine,                    0 - 1,2020-02-07 07:31:00
                Russia,                France,                    2 - 2,2020-02-07 07:34:00
                Russia,                Japan,                    0 - 0,2020-02-07 07:37:00
                England,                Australia,                    0 - 2,2020-02-07 07:40:00
                Italy,                Brazil,                    2 - 1,2020-02-07 07:43:00
                Ukraine,                Germany,                    1 - 2,2020-02-07 07:46:00
                Denmark,                Republic of Ireland,                    1 - 3,2020-02-07 07:49:00
                Cameroon,                Russia,                    0 - 0,2020-02-07 07:52:00
                Ghana,                Holland,                    0 - 2,2020-02-07 07:55:00
                France,                Italy,                    3 - 0,2020-02-07 07:58:00
                Italy,                Portugal,                    1 - 3,2020-02-07 08:01:00
                Russia,                Ivory Coast,                    2 - 0,2020-02-07 08:04:00
                Brazil,                Algeria,                    1 - 2,2020-02-07 08:07:00
                Italy,                Croatia,                    1 - 0,2020-02-07 08:10:00
                Germany,                Czech Republic,                    0 - 1,2020-02-07 08:13:00
                Greece,                Colombia,                    0 - 0,2020-02-07 08:16:00
                Holland,                Greece,                    1 - 1,2020-02-07 08:19:00
                Japan,                Argentina,                    1 - 3,2020-02-07 08:22:00
                Poland,                Portugal,                    3 - 0,2020-02-07 08:25:00
                Costa Rica,                Ecuador,                    2 - 2,2020-02-07 08:28:00
                England,                Italy,                    0 - 2,2020-02-07 08:31:00
                Costa Rica,                Honduras,                    1 - 1,2020-02-07 08:34:00
                England,                Bosnia H,                    2 - 2,2020-02-07 08:37:00
                Ecuador,                Greece,                    1 - 0,2020-02-07 08:40:00
                Ukraine,                Poland,                    1 - 2,2020-02-07 08:43:00
                Croatia,                France,                    1 - 1,2020-02-07 08:46:00
                Poland,                England,                    2 - 0,2020-02-07 08:49:00
                Switzerland,                Bosnia H,                    1 - 1,2020-02-07 08:52:00
                France,                Algeria,                    1 - 1,2020-02-07 08:55:00
                England,                Uruguay,                    0 - 1,2020-02-07 08:58:00
                Brazil,                Costa Rica,                    0 - 2,2020-02-07 09:01:00
                Italy,                Spain,                    2 - 1,2020-02-07 09:04:00
                Mexico,                Germany,                    4 - 0,2020-02-07 09:07:00
                Ukraine,                Denmark,                    4 - 0,2020-02-07 09:10:00
                Bosnia H,                USA,                    1 - 1,2020-02-07 09:13:00
                Algeria,                Ivory Coast,                    0 - 0,2020-02-07 09:16:00
                Japan,                South Korea,                    1 - 0,2020-02-07 09:19:00
                Denmark,                Sweden,                    0 - 1,2020-02-07 09:22:00
                Iran,                Ghana,                    2 - 1,2020-02-07 09:25:00
                Portugal,                Czech Republic,                    1 - 1,2020-02-07 09:28:00
                Portugal,                Greece,                    1 - 1,2020-02-07 09:31:00
                France,                Czech Republic,                    3 - 0,2020-02-07 09:34:00
                Mexico,                Portugal,                    2 - 0,2020-02-07 09:37:00
                France,                Poland,                    1 - 2,2020-02-07 09:40:00
                Algeria,                Brazil,                    0 - 0,2020-02-07 09:43:00
                Cameroon,                Chile,                    0 - 1,2020-02-07 09:46:00
                Japan,                Croatia,                    3 - 1,2020-02-07 09:49:00
                Iran,                Ecuador,                    1 - 0,2020-02-07 09:52:00
                Sweden,                Germany,                    2 - 0,2020-02-07 09:55:00
