team_back,team_home,score,datetime
                Ivory Coast,                Australia,                    0 - 2,2020-01-31 04:52:00
                Holland,                Cameroon,                    1 - 2,2020-01-31 04:55:00
                Switzerland,                Costa Rica,                    3 - 1,2020-01-31 04:58:00
                Russia,                Algeria,                    2 - 1,2020-01-31 05:01:00
                Spain,                Sweden,                    2 - 0,2020-01-31 05:04:00
                Sweden,                Ukraine,                    2 - 1,2020-01-31 05:07:00
                Croatia,                Greece,                    1 - 1,2020-01-31 05:10:00
                Italy,                Spain,                    2 - 0,2020-01-31 05:13:00
                Iran,                Russia,                    0 - 0,2020-01-31 05:16:00
                Colombia,                Chile,                    3 - 1,2020-01-31 05:19:00
                Switzerland,                Brazil,                    1 - 0,2020-01-31 05:22:00
                Denmark,                France,                    1 - 0,2020-01-31 05:25:00
                England,                Czech Republic,                    1 - 2,2020-01-31 05:28:00
                Denmark,                Holland,                    2 - 1,2020-01-31 05:31:00
                England,                Russia,                    0 - 2,2020-01-31 05:34:00
                England,                Greece,                    0 - 1,2020-01-31 05:37:00
                Uruguay,                Croatia,                    2 - 0,2020-01-31 05:40:00
                Iran,                Nigeria,                    2 - 2,2020-01-31 05:43:00
                Russia,                Iran,                    0 - 1,2020-01-31 05:46:00
                Ecuador,                Uruguay,                    3 - 1,2020-01-31 05:49:00
                Italy,                Russia,                    0 - 2,2020-01-31 05:52:00
                Germany,                Ukraine,                    1 - 3,2020-01-31 05:55:00
                Holland,                France,                    4 - 0,2020-01-31 05:58:00
                South Korea,                Australia,                    1 - 2,2020-01-31 06:01:00
                Brazil,                Ghana,                    3 - 1,2020-01-31 06:04:00
                Nigeria,                Argentina,                    1 - 0,2020-01-31 06:07:00
                Germany,                Republic of Ireland,                    1 - 0,2020-01-31 06:10:00
                France,                Ukraine,                    1 - 1,2020-01-31 06:13:00
                Holland,                Ukraine,                    1 - 2,2020-01-31 06:16:00
                Denmark,                Germany,                    0 - 1,2020-01-31 06:19:00
                England,                Poland,                    1 - 3,2020-01-31 06:22:00
                Czech Republic,                Sweden,                    2 - 1,2020-01-31 06:25:00
                Italy,                France,                    0 - 0,2020-01-31 06:28:00
                Germany,                Greece,                    0 - 2,2020-01-31 06:31:00
                Cameroon,                Italy,                    1 - 0,2020-01-31 06:34:00
                Croatia,                France,                    1 - 1,2020-01-31 06:37:00
                Ghana,                Colombia,                    2 - 1,2020-01-31 06:40:00
                Iran,                Croatia,                    2 - 0,2020-01-31 06:43:00
                Greece,                England,                    2 - 0,2020-01-31 06:46:00
                Holland,                Sweden,                    2 - 2,2020-01-31 06:49:00
                Russia,                England,                    2 - 1,2020-01-31 06:52:00
                England,                Germany,                    2 - 2,2020-01-31 06:55:00
                Australia,                Uruguay,                    2 - 1,2020-01-31 06:58:00
                Greece,                Russia,                    0 - 1,2020-01-31 07:01:00
                Greece,                Nigeria,                    2 - 1,2020-01-31 07:04:00
                Germany,                South Korea,                    0 - 3,2020-01-31 07:07:00
                Iran,                Algeria,                    1 - 0,2020-01-31 07:10:00
                Russia,                Ukraine,                    1 - 0,2020-01-31 07:13:00
                USA,                Honduras,                    1 - 0,2020-01-31 07:16:00
                Greece,                France,                    0 - 1,2020-01-31 07:19:00
                Ukraine,                Spain,                    3 - 0,2020-01-31 07:22:00
                Greece,                France,                    1 - 0,2020-01-31 07:25:00
                Ukraine,                Italy,                    4 - 0,2020-01-31 07:28:00
                Spain,                France,                    4 - 0,2020-01-31 07:31:00
                Ukraine,                Republic of Ireland,                    0 - 1,2020-01-31 07:34:00
                Honduras,                Costa Rica,                    2 - 2,2020-01-31 07:37:00
                Holland,                Argentina,                    0 - 0,2020-01-31 07:40:00
                Russia,                Brazil,                    1 - 0,2020-01-31 07:43:00
                Republic of Ireland,                Russia,                    2 - 0,2020-01-31 07:46:00
                Italy,                Greece,                    0 - 1,2020-01-31 07:49:00
                Ecuador,                Argentina,                    1 - 1,2020-01-31 07:52:00
                Ghana,                Costa Rica,                    1 - 0,2020-01-31 07:55:00
                Portugal,                Sweden,                    1 - 2,2020-01-31 07:58:00
                Croatia,                Poland,                    0 - 1,2020-01-31 08:01:00
                Brazil,                Ivory Coast,                    1 - 0,2020-01-31 08:04:00
                Mexico,                USA,                    0 - 2,2020-01-31 08:07:00
                Holland,                Greece,                    2 - 0,2020-01-31 08:10:00
                Holland,                Spain,                    1 - 0,2020-01-31 08:13:00
                South Korea,                Nigeria,                    1 - 1,2020-01-31 08:16:00
                Denmark,                Czech Republic,                    1 - 0,2020-01-31 08:19:00
                Nigeria,                Costa Rica,                    0 - 1,2020-01-31 08:22:00
                France,                Czech Republic,                    0 - 2,2020-01-31 08:25:00
                England,                Bosnia H,                    0 - 1,2020-01-31 08:28:00
                England,                Holland,                    1 - 0,2020-01-31 08:31:00
                Portugal,                Mexico,                    1 - 0,2020-01-31 08:34:00
                Iran,                England,                    1 - 1,2020-01-31 08:37:00
                Greece,                USA,                    2 - 0,2020-01-31 08:40:00
                Greece,                Ukraine,                    0 - 1,2020-01-31 08:43:00
                Republic of Ireland,                Germany,                    3 - 0,2020-01-31 08:46:00
                Ukraine,                Russia,                    0 - 1,2020-01-31 08:49:00
                Mexico,                Spain,                    1 - 1,2020-01-31 08:52:00
                Bosnia H,                Mexico,                    1 - 1,2020-01-31 08:55:00
                Ghana,                Cameroon,                    0 - 1,2020-01-31 08:58:00
                Cameroon,                Ivory Coast,                    2 - 2,2020-01-31 09:01:00
                Cameroon,                Ecuador,                    1 - 0,2020-01-31 09:04:00
                Bosnia H,                Germany,                    2 - 0,2020-01-31 09:07:00
                Sweden,                Portugal,                    0 - 2,2020-01-31 09:10:00
                Mexico,                Japan,                    0 - 0,2020-01-31 09:13:00
                Germany,                Nigeria,                    0 - 1,2020-01-31 09:16:00
                England,                Croatia,                    0 - 1,2020-01-31 09:19:00
                Russia,                England,                    0 - 2,2020-01-31 09:22:00
                Holland,                England,                    2 - 1,2020-01-31 09:25:00
                Greece,                Holland,                    1 - 0,2020-01-31 09:28:00
                Switzerland,                Ecuador,                    1 - 3,2020-01-31 09:31:00
                Ukraine,                Holland,                    1 - 0,2020-01-31 09:34:00
                France,                Italy,                    3 - 1,2020-01-31 09:37:00
                Czech Republic,                Spain,                    3 - 0,2020-01-31 09:40:00
                Croatia,                Russia,                    0 - 2,2020-01-31 09:43:00
                Ghana,                Japan,                    1 - 1,2020-01-31 09:46:00
                Greece,                Portugal,                    0 - 0,2020-01-31 09:49:00
                Algeria,                Colombia,                    3 - 1,2020-01-31 09:52:00
                Italy,                England,                    2 - 0,2020-01-31 09:55:00
                Greece,                South Korea,                    2 - 0,2020-01-31 09:58:00
                Costa Rica,                Croatia,                    2 - 1,2020-01-31 10:01:00
                Spain,                Russia,                    1 - 0,2020-01-31 10:04:00
                Colombia,                Ecuador,                    2 - 1,2020-01-31 10:07:00
                Sweden,                Spain,                    1 - 2,2020-01-31 10:10:00
                Costa Rica,                Argentina,                    2 - 1,2020-01-31 10:13:00
                Australia,                Germany,                    0 - 0,2020-01-31 10:16:00
                Australia,                Switzerland,                    2 - 0,2020-01-31 10:19:00
                Switzerland,                Colombia,                    3 - 0,2020-01-31 10:22:00
                Spain,                Japan,                    0 - 3,2020-01-31 10:25:00
                Ghana,                Algeria,                    1 - 2,2020-01-31 10:28:00
                Italy,                Croatia,                    0 - 1,2020-01-31 10:31:00
                Bosnia H,                Belgium,                    1 - 0,2020-01-31 10:34:00
                Belgium,                Spain,                    2 - 1,2020-01-31 10:37:00
                Spain,                Poland,                    1 - 3,2020-01-31 10:40:00
                Portugal,                Italy,                    2 - 1,2020-01-31 10:43:00
                Holland,                Croatia,                    1 - 0,2020-01-31 10:46:00
                Nigeria,                Australia,                    1 - 3,2020-01-31 10:49:00
                Ivory Coast,                Mexico,                    1 - 1,2020-01-31 10:52:00
                Switzerland,                Mexico,                    2 - 1,2020-01-31 10:55:00
                Poland,                Holland,                    3 - 0,2020-01-31 10:58:00
                Croatia,                Italy,                    1 - 1,2020-01-31 11:01:00
                Spain,                Ukraine,                    1 - 3,2020-01-31 11:04:00
                Honduras,                France,                    2 - 0,2020-01-31 11:07:00
                South Korea,                Croatia,                    2 - 0,2020-01-31 11:10:00
                Poland,                Republic of Ireland,                    1 - 1,2020-01-31 11:13:00
                Ghana,                Portugal,                    2 - 1,2020-01-31 11:16:00
                France,                Russia,                    0 - 1,2020-01-31 11:19:00
                England,                Ukraine,                    2 - 1,2020-01-31 11:22:00
                Russia,                Croatia,                    1 - 0,2020-01-31 11:25:00
                Ivory Coast,                Honduras,                    1 - 2,2020-01-31 11:28:00
                England,                Switzerland,                    2 - 0,2020-01-31 11:31:00
                Sweden,                Poland,                    0 - 1,2020-01-31 11:34:00
                Costa Rica,                Algeria,                    0 - 1,2020-01-31 11:37:00
                Denmark,                Russia,                    1 - 3,2020-01-31 11:40:00
                Chile,                Mexico,                    4 - 0,2020-01-31 11:43:00
                Sweden,                Greece,                    0 - 0,2020-01-31 11:46:00
                Colombia,                Honduras,                    1 - 0,2020-01-31 11:49:00
                Cameroon,                Australia,                    1 - 1,2020-01-31 11:52:00
                France,                Greece,                    1 - 3,2020-01-31 11:55:00
                Brazil,                Iran,                    1 - 2,2020-01-31 11:58:00
                Bosnia H,                Honduras,                    0 - 2,2020-01-31 12:01:00
                England,                Uruguay,                    3 - 0,2020-01-31 12:04:00
                Portugal,                Greece,                    1 - 1,2020-01-31 12:07:00
                Ecuador,                Bosnia H,                    3 - 1,2020-01-31 12:10:00
                Ghana,                France,                    2 - 1,2020-01-31 12:13:00
                Spain,                Colombia,                    0 - 2,2020-01-31 12:16:00
                Greece,                Colombia,                    2 - 0,2020-01-31 12:19:00
                Brazil,                Nigeria,                    0 - 1,2020-01-31 12:22:00
                Italy,                Czech Republic,                    0 - 3,2020-01-31 12:25:00
                Holland,                Poland,                    0 - 4,2020-01-31 12:28:00
                Belgium,                Argentina,                    3 - 0,2020-01-31 12:31:00
                Colombia,                Cameroon,                    1 - 3,2020-01-31 12:34:00
                Switzerland,                Argentina,                    3 - 1,2020-01-31 12:37:00
                Algeria,                France,                    2 - 1,2020-01-31 12:40:00
                Sweden,                Croatia,                    1 - 0,2020-01-31 12:43:00
                Republic of Ireland,                Greece,                    0 - 0,2020-01-31 12:46:00
                Honduras,                Spain,                    1 - 2,2020-01-31 12:49:00
                Italy,                Russia,                    1 - 0,2020-01-31 12:52:00
                France,                Croatia,                    2 - 1,2020-01-31 12:55:00
                Russia,                Denmark,                    1 - 1,2020-01-31 12:58:00
                Croatia,                Republic of Ireland,                    0 - 0,2020-01-31 13:01:00
                France,                Ukraine,                    0 - 0,2020-01-31 13:04:00
                Colombia,                USA,                    0 - 3,2020-01-31 13:07:00
                Spain,                Iran,                    0 - 1,2020-01-31 13:10:00
                Czech Republic,                France,                    0 - 1,2020-01-31 13:13:00
                Denmark,                Holland,                    2 - 1,2020-01-31 13:16:00
                Costa Rica,                France,                    2 - 1,2020-01-31 13:19:00
                Denmark,                England,                    1 - 0,2020-01-31 13:22:00
                Portugal,                Australia,                    2 - 2,2020-01-31 13:25:00
                Portugal,                Russia,                    0 - 0,2020-01-31 13:28:00
                Colombia,                Uruguay,                    0 - 4,2020-01-31 13:31:00
                Ivory Coast,                Colombia,                    2 - 1,2020-01-31 13:34:00
                Holland,                France,                    1 - 1,2020-01-31 13:37:00
                Ivory Coast,                Ghana,                    1 - 0,2020-01-31 13:40:00
                Russia,                Germany,                    0 - 0,2020-01-31 13:43:00
                Holland,                Cameroon,                    0 - 0,2020-01-31 13:46:00
                Denmark,                Ukraine,                    1 - 1,2020-01-31 13:49:00
                Ghana,                Bosnia H,                    3 - 0,2020-01-31 13:52:00
                Greece,                Germany,                    1 - 3,2020-01-31 13:55:00
                Russia,                Sweden,                    1 - 3,2020-01-31 13:58:00
                Germany,                Spain,                    2 - 0,2020-01-31 14:01:00
                Germany,                Sweden,                    1 - 1,2020-01-31 14:04:00
                France,                Germany,                    0 - 1,2020-01-31 14:07:00
                Republic of Ireland,                Ukraine,                    3 - 0,2020-01-31 14:10:00
                Ukraine,                Denmark,                    0 - 0,2020-01-31 14:13:00
                Spain,                France,                    0 - 3,2020-01-31 14:16:00
                Nigeria,                South Korea,                    2 - 1,2020-01-31 14:19:00
                Greece,                Sweden,                    0 - 1,2020-01-31 14:22:00
                France,                Poland,                    0 - 1,2020-01-31 14:25:00
                Colombia,                Argentina,                    0 - 0,2020-01-31 14:28:00
                Algeria,                Chile,                    1 - 1,2020-01-31 14:31:00
                Cameroon,                Portugal,                    3 - 1,2020-01-31 14:34:00
                Italy,                Germany,                    0 - 1,2020-01-31 14:37:00
                Sweden,                Holland,                    1 - 1,2020-01-31 14:40:00
                Denmark,                Germany,                    1 - 0,2020-01-31 14:43:00
                Poland,                France,                    3 - 0,2020-01-31 14:46:00
                Cameroon,                Switzerland,                    1 - 0,2020-01-31 14:49:00
                England,                Japan,                    1 - 0,2020-01-31 14:52:00
                France,                Spain,                    3 - 1,2020-01-31 14:55:00
                Greece,                Russia,                    0 - 2,2020-01-31 14:58:00
                Poland,                Spain,                    1 - 1,2020-01-31 15:01:00
                Brazil,                Algeria,                    0 - 0,2020-01-31 15:04:00
                Ukraine,                Italy,                    1 - 3,2020-01-31 15:07:00
                Poland,                Ukraine,                    1 - 0,2020-01-31 15:10:00
                Iran,                Brazil,                    2 - 1,2020-01-31 15:13:00
                Croatia,                Switzerland,                    0 - 2,2020-01-31 15:16:00
                Czech Republic,                Poland,                    0 - 0,2020-01-31 15:19:00
                England,                Bosnia H,                    2 - 1,2020-01-31 15:22:00
                Bosnia H,                USA,                    3 - 1,2020-01-31 15:25:00
                Japan,                Uruguay,                    1 - 1,2020-01-31 15:28:00
                Portugal,                Holland,                    0 - 1,2020-01-31 15:31:00
                France,                Greece,                    2 - 1,2020-01-31 15:34:00
                Russia,                Brazil,                    1 - 0,2020-01-31 15:37:00
                Uruguay,                Russia,                    0 - 0,2020-01-31 15:40:00
                Bosnia H,                Uruguay,                    1 - 0,2020-01-31 15:43:00
                Bosnia H,                Croatia,                    3 - 1,2020-01-31 15:46:00
                Spain,                Czech Republic,                    0 - 1,2020-01-31 15:49:00
                Italy,                Poland,                    2 - 2,2020-01-31 15:52:00
                Bosnia H,                Germany,                    0 - 0,2020-01-31 15:55:00
                Portugal,                Germany,                    1 - 1,2020-01-31 15:58:00
                Belgium,                Mexico,                    0 - 2,2020-01-31 16:01:00
                Greece,                Holland,                    0 - 1,2020-01-31 16:04:00
                Republic of Ireland,                Italy,                    2 - 0,2020-01-31 16:07:00
                Bosnia H,                Ecuador,                    1 - 0,2020-01-31 16:10:00
                Portugal,                Spain,                    3 - 1,2020-01-31 16:13:00
                Greece,                Cameroon,                    0 - 2,2020-01-31 16:16:00
                Colombia,                France,                    0 - 2,2020-01-31 16:19:00
                Russia,                France,                    0 - 0,2020-01-31 16:22:00
                Australia,                Portugal,                    1 - 2,2020-01-31 16:25:00
Germany,USA,0 - 1,2020-01-31 16:28:00
Argentina,Cameroon,1 - 1,2020-01-31 16:31:00
Denmark,Poland,1 - 1,2020-01-31 16:34:00
England,Russia,1 - 1,2020-01-31 16:37:00
Spain,France,2 - 0,2020-01-31 16:40:00
Russia,Poland,1 - 0,2020-01-31 16:43:00
Chile,Iran,0 - 0,2020-01-31 16:46:00
Uruguay,Mexico,2 - 0,2020-01-31 16:49:00
Croatia,England,1 - 2,2020-01-31 16:52:00
England,Czech Republic,0 - 0,2020-01-31 16:55:00
Republic of Ireland,Russia,1 - 1,2020-01-31 16:58:00
France,Italy,0 - 1,2020-01-31 17:01:00
Japan,South Korea,2 - 0,2020-01-31 17:04:00
Colombia,Italy,0 - 1,2020-01-31 17:07:00
Ukraine,Czech Republic,2 - 1,2020-01-31 17:10:00
Poland,Russia,1 - 3,2020-01-31 17:13:00
