address,classification,details,fone,link,name,position,has_instagram,has_facebook,link_problem,facebook_link,instagram_link
"       R. Cruz Machado, 319 - Centro, União da Vitória - PR, 84600-000      ","4,0",Empresa de embalagens,       (42) 3523-8461      ,       facebook.com      ,Das Haus Embalagens,13,True,True,,https://web.facebook.com/help/568137493302217,
"       R. Sem Denominacao, 135 - São Braz, União da Vitória - PR, 84600-000      ",,,,,Wc cosmesticos,14,,,,,
"       Av. Interventor Manoel Ribas, 189 - Centro, União da Vitória - PR, 84600-280      ","5,0",Loja de artigos para festas,       (42) 3522-3007      ,,Flash Moda Festa,15,,,,,
"       R. Prof. Cleto, 74 - Centro, União da Vitória - PR, 84600-000      ","3,8",Loja de descontos,       (42) 99139-8450      ,,FESTIVAL DA GULA UNIÃO DA VITÓRIA,16,,,,,
"       R. Matos Costa, 446 - Centro, Porto União - SC, 89400-000      ","4,9",Loja de eletrônicos,       (42) 3522-8294      ,,GUIMARAES E QUEIROZ LTDA,17,,,,,
"       R. Carlos Cavalcante - São Bernardo, União da Vitória - PR, 84600-000      ","4,0",Loja de Roupa,,,Cravo e Canela,18,,,,,
"       R. Frei Rogerio, 180 - Centro, Porto União - SC, 89400-000      ","4,4",Loja de materiais elétricos,       (42) 3522-3681      ,       webermel.com.br      ,Weber Materiais Elétricos,19,,,True,,
"       R. Sete de Setembro, 999 - Centro, Porto União - SC, 89400-000      ","4,7",Pet Shop,       (42) 3524-6999      ,       facebook.com      ,Willi Reiche Pet Shop,2,True,True,,https://web.facebook.com/help/568137493302217,
"       R. Padre Anchieta, 177 - Cidade Nova, Porto União - SC, 89400-000      ",,Salão de Beleza,       (42) 99103-1087      ,,Estética Bem Estar,3,,,,,
"       R. Prof. Cleto, 81 - Centro, União da Vitória - PR, 84600-140      ","4,8",Loja de Roupa,       (42) 3522-8008      ,       colcciuniaodavitoria.com.br      ,Colcci União,4,True,True,,https://www.facebook.com/colcciuniao,http://instagram.com/colcciuniao
,,,,,,5,,,,,
"       Matos Costa 33 Sexto, andar sala 603 - Centro, Porto União - SC, 89400-000      ",,Salão de Beleza,       (42) 98858-5049      ,,Espaço das Sobrancelhas Carla Carneiro,6,,,,,
"       R. Cel. Amazonas, 932 - Centro, Porto União - SC, 89400-000      ","5,0",,       (42) 3523-9474      ,       storck.ind.br      ,Storck Distribuidora Ltda,7,True,True,,http://www.facebook.com/WixPortugues,https://instagram.com/wix/
"       R. Prof. Cleto, 398 - Centro, União da Vitória - PR, 84600-000      ","4,4",Salão de Beleza,       (42) 3522-6398      ,,Esmalteria Nara Hair Shop,8,,,,,
"       Av. Interventor Manoel Ribas - Centro, União da Vitória - PR, 84600-000      ",,Farmácia,,       drogariaspacheco.com.br      ,Pacheco,9,,,True,,
"       R. Benjamin Constant - Centro, União da Vitória - PR, 84600-000      ","5,0",Manicure,       (42) 99958-2641      ,       instagram.com      ,Layla Nails Designer,10,True,False,,,
"       R. Nilo Peçanha, 1001 - São Pedro, Porto União - SC, 89400-000      ","4,8",Loja de vestidos de noiva,       (42) 3522-3324      ,,Walderis Noivas & Eventos,11,,,,,
"       AV Marechal Deodoro, 1228 - São Basílio Magno, União da Vitória - PR, 84600-614      ",,Salão de Beleza,       (42) 98854-6920      ,,Unhas Amanda,12,,,,,
"       R. Expedicionário Edmundo Arrabar, 2651 - 02 - Santa Rosa, Porto União - SC, 89400-000      ","4,0",Salão de Beleza,       (42) 99845-8055      ,,Espaço Dellas Salao De Beleza,13,,,,,
"       R. Expedicionário Edmundo Arrabar, 2548 - Santa Rosa, Porto União - SC, 89400-000      ","4,6",Distribuidora de Bebidas,       (42) 3523-3399      ,,Comércio de Bebidas do Porto Ltda,14,,,,,
"       Av. João Pessoa, 2903 - São Pedro, Porto União - SC, 89400-000      ","4,4",Farmácia,       (42) 3522-3959      ,       rodocentro.com.br      ,Rodocentro - São Pedro,15,,,True,,
"       R. Sete de Setembro, 55 - Centro, Porto União - SC, 89400-000      ","2,7",Fornecedor,       (42) 3523-4143      ,       facebook.com      ,Multi Koisas,16,True,True,,https://web.facebook.com/help/568137493302217,
"       R. Siqueira Campos - Centro, União da Vitória - SC, 89400-000      ","4,3",Loja de Brinquedos,       (42) 3523-7746      ,,Schok Presentes e Acessórios,17,,,,,
