address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"R. Dr. José Bonifácio Malburg, número 105 - sala 03","5,0",Serviço de depilação a laser, (47) 99629-8350 · ,https://www.giolaser.com.br/,GiOlaser Itajaí - Depilação • Estética • Beleza,33,,True,True,https://facebook.com/GiolaserOficial/,https://instagram.com/giolaseroficial/
"R. Lauro Muller, 1219",,Fisioterapeuta, (47) 3349-3680 · ,http://fisioterapeutagabrielavipych.blogspot.com.br/,Fisioterapia e Estética - Dra. Gabriela Vipych,34,,False,True,https://www.blogger.com/share-post.g?blogID=2521318747571444389&postID=7815063087510842239&target=facebook,
"Av. Paulo Cantídio de Silva, 1411","5,0",Clínica da saúde da mulher, (47) 99719-6363 · ,,Liriane Roecker Estética Facial E Corporal.,35,,,,,
"R. Manoel Francisco Coelho, 188","3,7",Serviço de depilação a laser, (47) 3045-2245 · ,https://goo.gl/CNqeFJ,"Absoluta Depilação a Laser, Estética e Manicure Itajai",36,,True,True,https://www.facebook.com/WhatsApp,
"R. Alm. Barroso, 700","4,0",Clínica de cirurgia plástica, (47) 4105-0588 · ,http://www.fernandaschmitzesteticapilates.blogspot.com/,Baraldo & Olivieiri Odontologia,37,,False,True,https://draft.blogger.com/share-post.g?blogID=6002013764078276759&postID=8717364232495618499&target=facebook,
"Rua XV de Novembro, 100","4,7",Spa facial, (47) 99215-0745 · ,http://royalface.com.br/,Royal Face Estética Facial - Itajaí,38,True,,,,
"Rua Doutor José Bonifácio Malburg, 204, 1º Pavimento","5,0",Clínica especializada, (47) 3046-2051 · ,https://emagrecentroitajai.negocio.site/?utm_source=gmb&utm_medium=referral,Emagrecentro Itajaí - Emagrecimento Rápido - Criolipolise - Depilação a Laser Vectus - Tratamento para Gordura Localizada - Celulite - Estrias - Flacidez - Papada - Tratamento Capilar - Secagem de Vasinhos - Botox,39,,True,True,,
"R. José Pereira Liberato, 987 - Sala 1","5,0",Centro de saúde e beleza, (47) 3248-8024 · ,,Única Estética Especializada,40,,,,,
"R. Heitor Liberato, 2150 - Sala A","3,0",Clínica de cirurgia plástica, (47) 3346-3367 · ,http://www.facebook.com/Verdeesmeralda,Verde Esmeralda Centro Estético,41,,True,True,https://es-es.facebook.com/esmeralda.barrientos.9003,
"R. Satyro Loureiro, 711","4,6",Clínica de cirurgia plástica, (47) 99634-0406 · ,,Fabiola Beleza em Foco,42,,,,,
"RODOVIA OSVALDO REIS 3281, sla 705d- RIVIERA BUSINESS","5,0",Médico, (47) 98867-0232 · ,,Cirurgião Plástico & Dermatologista & Estetica Centro Médico Madrid.,43,,,,,
"R. Brusque, 121","5,0",Centro de saúde e beleza, (47) 4141-5144 · ,https://www.instagram.com/dluxe___/,D'Luxe Centro de Estética,44,,True,False,,
"R. Lauro Muller, 1114","3,0",Clínica odontológica, (47) 99152-1302 · ,,Claudia Avellar Odontologia Estética,47,,,,,
Av. Osvaldo Reis,"5,0",Cirurgião plástico, (47) 99260-1414 · ,http://www.cirurgiaplasticadavinci.com/,DA VINCI CIRURGIA PLASTICA E ESTÉTICA ITAJAÍ e Balneário,48,,True,True,https://www.facebook.com/cirurgiaplasticadavinci/,https://instagram.com/clinicadavincicirurgiaplastica?igshid=1nq9slyhnw7lw
