address,details,fone,link,name
"Rua Moyses Guelmann, 76",Imobiliária,(41) 3154-2244,http://www.taticaimoveis.com.br/,Tática Imóveis
"R. Jaime Balão, 390",Corretora de aluguel de imóveis,(41) 3353-3000,http://www.imobiliariajuveve.com.br/,Imobiliária Juvevê
"R. Padre Anchieta, 2443 - loja 05",Imobiliária,(41) 3206-0842,http://www.imobiliariapadreanchieta.com.br/,Imobiliária Padre Anchieta
"Av. Nossa Sra. de Lourdes, 867",Imobiliária,(41) 3515-1771,http://www.jbaimoveis.com.br/,JBA Imóveis - Jardim das Américas
"R. Tijucas do Sul, 548",Imobiliária,(41) 3092-2292,https://www.apolar.com.br/,Apolar Imóveis Sítio Cercado
"R. Prof. João Soares Barcelos, 1555",Imobiliária,(41) 3515-1771,http://www.jbaimoveis.com.br/,JBA Imóveis - Boqueirão
Araucária,Imobiliária,(41) 3642-3211,http://www.imobiliariabarracao.com.br/,Imobiliária Barracão
152/306 - R. Dr. Pedrosa,Imobiliária,(41) 99620-7211,https://www.oliverempreendimentos.com.br/,Oliver Imóveis
"R. Brasílio Itiberê, 4041",Imobiliária,(41) 3342-7070,http://www.aguaverdeimoveis.com.br/,Imobiliária Água Verde
"R. Teixeira Coelho, 290",Imobiliária,(41) 3244-2888,https://www.ocasiaoimoveis.com.br/,Ocasião Imóveis Batel
"R. Dep. Estefano Mikilita, 125 - sala 506",Imobiliária,(41) 3345-8046,http://www.imobiliariaivanfreitas.com.br/,Imobiliária Ivan Freitas
"Av. Manoel Ribas, 279",Imobiliária,(41) 3149-9090,/aclk?sa=l&ai=DChcSEwjYg9Hc--3pAhULB5EKHdQcDwIYABABGgJjZQ&sig=AOD64_2h3oTt2XZVPJ0iF-C8MAmihaeRHA&adurl&q&ctype=99,Imobiliária Sergio Luiz
"R. Voltaire, 96",Imobiliária,(41) 99958-7055,,PARANA NEGOCIOS IMOBILIARIOS
"Av. Winston Churchill, 2370",Consultora de imóveis,(41) 3092-7070,http://jlconsultoriaimobiliaria.com.br/,JL Consultoria Imobiliária
"R. Prof. Fernando Moreira, 151",Imobiliária,(41) 3259-5900,http://www.futuramaimoveis.com.br/,Futurama Imóveis
"Alameda Nossa Sra. do Sagrado Coração, 1400",Imobiliária,(41) 3265-4418,http://www.habitualimoveis.com/,HABITUAL SUL IMOBILIÁRIA E INCORPORADORA
"Ao lado da Caixa Econ - Rua Alberico Flores Bueno, 514",Imobiliária,(41) 3077-4050,http://imobiliariafollador.com.br/,Imobiliária Follador
"Av. Manoel Ribas, 5774",Imobiliária,(41) 3515-1589,/aclk?sa=l&ai=DChcSEwjj-u_n--3pAhUPC5EKHYmxCF4YABAAGgJjZQ&sig=AOD64_1PkgnDsYoreXB2Mj3IBD0D2bJsLQ&adurl&q&ctype=99,Gonzaga Aluguel
"Av. Água Verde, n°198",Imobiliária,(41) 3026-1802,http://www.patrialimoveis.com.br/,Patrial Imóveis
"Alameda Augusto Stellfeld, 1050",Imobiliária,(41) 99930-5792,http://www.aguaverdeimoveis.com.br/,Imóveis Água Verde
São José dos Pinhais,Imobiliária,(41) 3146-3834,/aclk?sa=l&ai=DChcSEwi7vrHq--3pAhUNEZEKHYu9APQYABABGgJjZQ&sig=AOD64_07UmraAWoSfM3ReawGRvJ7Kbeqiw&adurl&q&ctype=99,New Imóveis - SJP
"Av. Santa Bernadete, 201",Imobiliária,(41) 99800-1946,https://imoveisdeluxocuritiba.com.br/imovel/apartamento-na-avenida-santa-bernadethe-portao/,Imóveis de Luxo Curitiba
"Av. Manoel Ribas, 279",Imobiliária,(41) 3149-9090,http://www.sergioluiz.imb.br/,Imobiliária Sergio Luiz
"Av. Mal. Floriano Peixoto, 7903",Imobiliária,(41) 98841-2400,http://bosso.com.br/,Apartamento Agua Verde Bosso Imoveis - Venda Sobrado Portão Sobrados Capão Raso
"Av. Manoel Ribas, 279",Imobiliária,(41) 3149-9090,/aclk?sa=l&ai=DChcSEwiiw7rb--3pAhXFCpEKHWG5BrgYABABGgJjZQ&sig=AOD64_1r1sPqsUK26objalMhU09OOcZNVw&adurl&q&ctype=99,Imobiliária Sergio Luiz
"Av. Rep. Argentina, 5535",Imobiliária,(41) 3078-5757,http://www.jaimovel.com.br/,JA Imóveis
"Av. Sen. Salgado Filho, 2071",Imobiliária,(41) 99679-7430,http://shimodaimoveis.com.br/,Shimoda
Curitiba,Imobiliária,(41) 99660-6996,http://www.okaimoveis.com.br/,Oka Imóveis
"Tv. Itália, 84",Imobiliária,(41) 99105-0880,http://imoveiscb.com.br/anuncie,CB Negócios Imobiliários
"R. Gov. Agamenon Magalhães, 145",Imobiliária,(41) 99679-0898,,Invista Consultoria Imobiliária
"R. Monsenhor Celso, 231",Imobiliária,(41) 3072-5500,http://www.galvao.com.br/,Imobiliária Galvão
"Av. Visc. de Guarapuava, 3384",Imobiliária,(41) 3121-1015,http://www.selectcuritiba.com.br/,Select Home Empreendimentos Imobiliários
Curitiba,Imobiliária,(41) 3155-0123,http://www.imobiliariafideliza.com.br/,Imobiliária Fideliza
"Rua Frederico Stadler Júnior, 643",Imobiliária,(41) 3366-1461,http://www.imobiliariabahamas.com.br/,Imobiliária Bahamas
"Alameda Dr. Carlos de Carvalho, 555 - cj. 55",Imobiliária,(41) 4042-1491,http://www.rossiresidencial.com.br/,Rossi Residencial
"R. Dr. Roberto Barrozo, 1834",Imobiliária,(41) 3252-4446,http://www.remaxbusiness.com.br/,REMAX Business
"R. Francisco Derosso, 4891",Imobiliária,(41) 3378-5050,,Comparar Imóveis | ES Corretor - Venda e Aluguel de Imóveis em Curitiba
"R. Dr. Faivre, 1023",Imobiliária,(41) 3082-8026,,DLCORRETORAS
"R. Ébano Pereira, 266",Imobiliária,(41) 3072-1818,http://www.cibraco.com.br/,Cibraco Imóveis - Rede Imóveis
"Alameda Dr. Carlos de Carvalho, 1341",Imobiliária,(41) 3068-2100,http://arya1.com.br/,ARYA 1 Imóveis
"R. Eurípedes Garcez do Nascimento, 1233",Imobiliária,(41) 99982-0940,https://www.londonimobiliaria.com.br/,London Imobiliária
"R. Ébano Pereira, 11",Imobiliária,(41) 3233-7911,http://www.aliancaimb.com.br/,Aliança Imobiliária
"R. Imac. Conceição, 579",Imobiliária,(41) 3077-8505,http://www.rpkassessoria.com.br/,RPK Assessoria de Negócios Imobiliários
"R. Treze de Maio, 95",Imobiliária,(41) 99111-4488,http://adiassessoria.com.br/,ADI ASSESSORIA IMOBILIÁRIA
"Alameda Princesa Izabel, 852",Corretora de aluguel de imóveis,(41) 3204-3333,http://losso.imb.br/,Imobiliária Losso
"Rua Presidente Carlos Cavalcanti, 203",Imobiliária,(41) 99803-1333,https://www.aptocuritiba.com/,APTO CURITIBA IMOVEIS
"R. Padre Anchieta, 2050",Imobiliária,(41) 98814-4194,http://www.massaimoveis.com.br/sobre,Massa Imoveis
"Av. Rep. Argentina, 2403 - Sala 41",Imobiliária,(41) 3532-7167,https://a8imoveis.negocio.site/,A8 IMÓVEIS CORRETORES ASSOCIADOS
"Av. Presidente Affonso Camargo, 2467 - Loja 02",Imobiliária,(41) 3030-3027,http://vivareimoveis.com/,Vivare Imóveis
"Rua Luiz Parigot de Souza, 343",Imobiliária,(41) 99616-2749,http://www.milanimoveis.com.br/,Milan Imóveis
"R. Brg. Franco, 3308",Imobiliária,(41) 3333-5466,http://www.imobiliariamed.com.br/,Imobiliária M&D
"Rua XV de Novembro, 960",Imobiliária,(41) 3250-2000,http://www.imobiliaria2000.com.br/,Imobiliária 2000 S/A
"Av. Rep. Argentina, 1228",Imobiliária,(41) 99115-5554,https://imoveisfolador.com.br/contato/,Imoveis Folador
"Rua XV de Novembro, 972",Imobiliária,(41) 3075-1900,http://www.apolar.com.br/,Ria Serviços Imobiliários Ltda
"Travessa Santa Inês, 60",Imobiliária,(41) 99904-2074,http://sinhori.com.br/contato.php,Sinhori Corretor de Imóveis
"Av. São José, 587 - Conjunto 01",Imobiliária,(41) 3082-4100,https://www.imobiliariasevenbrokers.com.br/,Seven Brokers
"R. Prof. Brandão, 281",Imobiliária,(41) 3342-7070,https://www.imobiliariamota.com.br/,Imobiliária Alto da XV
"R. Itupava, 1411",Imobiliária,(41) 3262-2261,http://www.casaraoimoveiscuritiba.com.br/,Casarão Imóveis
"R. Alm. Tamandaré, 1144",Imobiliária,(41) 3362-5151,http://www.claroimobiliaria.com.br/,Claro Imobiliária
"R. Prof. João Soares Barcelos, 503",Imobiliária,(41) 3071-0808,http://www.vendemaisimoveis.com.br/,Vende Mais Imóveis
,Imobiliária,(41) 99881-2435,http://www.curitiba.pr.gov.br/,Negócio Curitiba
"R. José Braz Gomes, 33",Imobiliária,(41) 3014-4558,http://www.panakol.com.br/,Imobiliária Panakol
"Av. Manoel Ribas, 279",Imobiliária,(41) 3149-9090,/aclk?sa=l&ai=DChcSEwjRzsLg--3pAhWShJEKHSXwCuQYABAAGgJjZQ&sig=AOD64_3F8Ae18KfnCpeQLd3P5QC-WCjxEw&adurl&q&ctype=99,Imobiliária Sergio Luiz
"R. Francisco Frischmann, 2266",Imobiliária,(41) 3329-0090,http://www.imobiliariabonfim.com.br/,Imobiliária Bonfim
"R. Euclides da Cunha, 561",Imobiliária,(41) 3019-0444,http://www.imobiliariaprates.com.br/,Imobiliária Prates Ltda. | Matriz - Batel
"R. Saturnino Miranda, 855",Imobiliária,(41) 3364-1139,http://www.imoveisstoantonio.com.br/,Imobiliária Santo Antônio
"Av. Cel. Francisco H. dos Santos, 950",Imobiliária,(41) 3201-2424,http://www.imobiliariajamaica.com.br/,Jamaica Imóveis
"R. N. Sra. de Nazaré, 1539",Imobiliária,(41) 3014-9319,http://www.jgodoiimoveis.com.br/,J. Godoi Imóveis Ltda.
"R. Francisco Derosso, 1615 - bloco 2 sala 3",Imobiliária,(41) 99896-7273,http://www.fireempreendimentos.com.br/,Fire Imóveis imobiliária
"Av. Cândido de Abreu, 535",Imobiliária,(41) 3254-7479,http://www.oabpr.org.br/,OAB-Ordem dos Advogados do Brasil-Seção do Paraná
"R. Jovino do Rosário, 607",Imobiliária,(41) 3077-2948,http://www.altopadraoimobiliaria.com.br/,Alto Padrão Assessoria Imobiliária
